=== TT ===
 Real%        Method     Abn P     Abn R    Abn F1
--------------------------------------------------
     0      Hier VAE     0.707     0.272     0.393
     0      Flat VAE     0.792     0.070     0.129
     0        Random     1.000     0.004     0.007

    10      Hier VAE     0.692     0.370     0.483
    10      Flat VAE     0.640     0.528     0.579
    10        Random     0.604     0.996     0.752

    30      Hier VAE     0.658     0.722     0.688
    30      Flat VAE     0.613     0.941     0.742
    30        Random     0.604     1.000     0.753

    50      Hier VAE     0.637     0.843     0.726
    50      Flat VAE     0.621     0.898     0.734
    50        Random     0.604     1.000     0.753

    70      Hier VAE     0.629     0.815     0.710
    70      Flat VAE     0.640     0.822     0.720
    70        Random     0.604     1.000     0.753

   100      Hier VAE     0.604     1.000     0.753
   100      Flat VAE     0.604     1.000     0.753
   100        Random     0.604     1.000     0.753


=== SN ===
 Real%        Method     Abn P     Abn R    Abn F1
--------------------------------------------------
     0      Hier VAE     0.557     0.755     0.641
     0      Flat VAE     0.062     0.001     0.001
     0        Random     0.277     1.000     0.434

    10      Hier VAE     0.680     0.682     0.681
    10      Flat VAE     0.650     0.755     0.699
    10        Random     0.674     0.740     0.705

    30      Hier VAE     0.686     0.820     0.747
    30      Flat VAE     0.675     0.829     0.744
    30        Random     0.689     0.825     0.751

    50      Hier VAE     0.678     0.896     0.772
    50      Flat VAE     0.669     0.896     0.767
    50        Random     0.702     0.860     0.773

    70      Hier VAE     0.670     0.886     0.763
    70      Flat VAE     0.679     0.888     0.770
    70        Random     0.710     0.848     0.772

   100      Hier VAE     0.656     0.987     0.788
   100      Flat VAE     0.656     0.987     0.788
   100        Random     0.655     0.985     0.787

