run_order,system,generator,real_percent_requested,synthetic_percent_requested,real_percent_actual,synth_percent_actual,mode_version,syn_normal_path,syn_abnormal_path,real_holdout_ratio,real_val_ratio,min_nodes_filter,max_synth_per_class,train_real_total,train_synth_total,train_normal_real,train_abnormal_real,train_normal_synth,train_abnormal_synth,val_normal_synth,val_abnormal_synth,val_normal_real,val_abnormal_real,test_normal_real,test_abnormal_real,train_total_after_filter,val_total_after_filter,test_total_after_filter,test_normal_real_after_filter,test_abnormal_real_after_filter,test_loss,test_accuracy,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,abnormal_precision,abnormal_recall,abnormal_f1,resource_summary_csv,resource_timeseries_csv,resource_return_code,resource_wall_seconds,resource_process_tree_cpu_seconds,resource_process_tree_avg_cpu_pct,resource_process_tree_peak_rss_mb,resource_process_tree_peak_vms_mb,resource_gpu_peak_mem_used_total_mb,resource_process_tree_gpu_peak_mem_mb,resource_gpu_peak_util_pct,resource_samples
1,TT,hierarchical_vae,0,100.0,0.0,100.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,0,952,0,0,492,460,124,115,304,216,760,540,952,239,1300,760,540,1.309668,0.650769,0.667783,0.650769,0.604569,0.64011,0.919737,0.75486,0.706731,0.272222,0.393048,,,,,,,,,,,,
2,SN,hierarchical_vae,0,100.0,0.0,100.0,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,0,1600,0,0,800,800,200,200,,,3676,1410,,,,,,0.738776,0.765828,0.798732,0.765828,0.774929,0.891339,0.769859,0.826157,0.5573,0.755319,0.641373,,,,,,,,,,,,
3,TT,hierarchical_vae,10,90.0,10.028,89.972,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,106,951,62,44,491,460,124,115,304,216,760,540,1057,520,1300,760,540,0.569053,0.67,0.675472,0.67,0.643427,0.663699,0.882895,0.757764,0.692042,0.37037,0.482509,,,,,,,,,,,,
4,SN,hierarchical_vae,10,90.0,10.017,89.983,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,178,1599,129,49,800,799,200,200,,,3676,1410,,,,,,0.316615,0.822847,0.822964,0.822847,0.822905,0.877757,0.87704,0.877398,0.680113,0.68156,0.680836,,,,,,,,,,,,
5,TT,hierarchical_vae,30,70.0,30.0,70.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,408,952,239,169,492,460,124,115,304,216,760,540,1360,520,1300,760,540,0.467365,0.728462,0.733768,0.728462,0.729908,0.787836,0.732895,0.759373,0.657673,0.722222,0.688438,,,,,,,,,,,,
6,SN,hierarchical_vae,30,70.0,30.009,69.991,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,686,1600,496,190,800,800,200,200,,,3676,1410,,,,,,0.276551,0.845851,0.858856,0.845851,0.849716,0.925294,0.855822,0.889203,0.685647,0.819858,0.74677,,,,,,,,,,,,
7,TT,hierarchical_vae,50,50.0,50.0,50.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,952,952,557,395,492,460,124,115,304,216,760,540,1904,520,1300,760,540,0.458201,0.735385,0.764522,0.735385,0.736639,0.854949,0.659211,0.744428,0.637255,0.842593,0.725678,,,,,,,,,,,,
8,SN,hierarchical_vae,50,50.0,50.0,50.0,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,1600,1600,1156,444,800,800,200,200,,,3676,1410,,,,,,0.274072,0.853126,0.877749,0.853126,0.858468,0.95439,0.836779,0.891723,0.677939,0.895745,0.771769,,,,,,,,,,,,
9,TT,hierarchical_vae,70,30.0,69.997,30.003,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,2221,952,1299,922,492,460,124,115,304,216,760,540,3173,520,1300,760,540,0.447626,0.723846,0.748814,0.723846,0.725435,0.833611,0.659211,0.736223,0.629471,0.814815,0.71025,,,,,,,,,,,,
10,SN,hierarchical_vae,70,30.0,69.998,30.002,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,3733,1600,2698,1035,800,800,200,200,,,3676,1410,,,,,,0.272598,0.847424,0.872415,0.847424,0.852982,0.950031,0.832699,0.887504,0.670064,0.885816,0.762981,,,,,,,,,,,,
