mode_version,generator,syn_normal_path,syn_abnormal_path,real_percent_requested,real_percent_actual,synth_percent_actual,real_holdout_ratio,real_val_ratio,min_nodes_filter,train_real_total,train_synth_total,train_normal_real,train_abnormal_real,train_normal_synth,train_abnormal_synth,val_normal_synth,val_abnormal_synth,val_normal_real,val_abnormal_real,test_normal_real,test_abnormal_real,train_total_after_filter,val_total_after_filter,test_total_after_filter,test_normal_real_after_filter,test_abnormal_real_after_filter,test_loss,test_accuracy,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,abnormal_precision,abnormal_recall,abnormal_f1
v5_tt_real_validation,empirical_random_tree,./datasets/baselines/TT_normal_empirical_random_tree.pt,./datasets/baselines/TT_abnormal_empirical_random_tree.pt,0.0,0.0,100.0,0.2,0.1,3,0,8753,0,0,4970,3783,1243,946,497,379,1243,946,5151,521,1315,770,545,1.272251,0.559696,0.581843,0.559696,0.562326,0.656814,0.519481,0.580131,0.475921,0.616514,0.53717
v5_tt_real_validation,flat_vae,./datasets/baselines/TT_normal_flat_vae_synthetic.pt,./datasets/baselines/TT_abnormal_flat_vae_synthetic.pt,0.0,0.0,100.0,0.2,0.1,3,0,8753,0,0,4970,3783,1243,946,497,379,1243,946,5192,521,1315,770,545,3.498283,0.623574,0.688753,0.623574,0.528993,0.611698,0.977922,0.752624,0.797619,0.122936,0.213037
v5_tt_real_validation,hierarchical_vae,/home/snehpatel/research/generate_graphs/datasets/anomaly/TT/TT_normal_synthetic.pt,/home/snehpatel/research/generate_graphs/datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.0,0.0,100.0,0.2,0.1,3,0,1600,0,0,800,800,200,200,497,379,1243,946,867,521,1315,770,545,4.84665,0.463878,0.546688,0.463878,0.412367,0.632653,0.201299,0.305419,0.425234,0.834862,0.563467
v5_tt_real_validation,empirical,./datasets/baselines/TT_normal_empirical_random_tree.pt,./datasets/baselines/TT_abnormal_empirical_random_tree.pt,0.0,0.0,100.0,0.2,0.1,3,0,8753,0,0,4970,3783,1243,946,497,379,1243,946,5151,521,1315,770,545,1.585579,0.570342,0.597287,0.570342,0.572109,0.675815,0.511688,0.582409,0.486339,0.653211,0.557557
v5_tt_real_validation,empirical,./datasets/baselines/TT_normal_empirical_random_tree.pt,./datasets/baselines/TT_abnormal_empirical_random_tree.pt,10.0,9.996,90.004,0.2,0.1,3,972,8752,552,420,4969,3783,1243,946,497,379,1243,946,5710,521,1315,770,545,0.452994,0.742966,0.775838,0.742966,0.744001,0.871134,0.658442,0.75,0.641201,0.862385,0.735524
v5_tt_real_validation,empirical,./datasets/baselines/TT_normal_empirical_random_tree.pt,./datasets/baselines/TT_abnormal_empirical_random_tree.pt,30.0,29.998,70.002,0.2,0.1,3,3751,8753,2130,1621,4970,3783,1243,946,497,379,1243,946,7360,521,1315,770,545,0.436882,0.736122,0.78336,0.736122,0.735837,0.893855,0.623377,0.734507,0.627249,0.895413,0.737717
v5_tt_real_validation,empirical,./datasets/baselines/TT_normal_empirical_random_tree.pt,./datasets/baselines/TT_abnormal_empirical_random_tree.pt,50.0,50.0,50.0,0.2,0.1,3,7877,7877,4473,3404,4473,3404,1243,946,497,379,1243,946,9266,521,1315,770,545,0.441054,0.742966,0.834111,0.742966,0.738043,0.986486,0.568831,0.721582,0.618829,0.988991,0.761299
v5_tt_real_validation,empirical,./datasets/baselines/TT_normal_empirical_random_tree.pt,./datasets/baselines/TT_abnormal_empirical_random_tree.pt,70.0,69.996,30.004,0.2,0.1,3,7876,3376,4472,3404,1917,1459,1243,946,497,379,1243,946,6646,521,1315,770,545,0.438619,0.741445,0.837075,0.741445,0.735964,0.993119,0.562338,0.718076,0.61661,0.994495,0.761236
v5_tt_real_validation,empirical,./datasets/baselines/TT_normal_empirical_random_tree.pt,./datasets/baselines/TT_abnormal_empirical_random_tree.pt,100.0,100.0,0.0,0.2,0.1,3,7877,0,4473,3404,0,0,1243,946,497,379,1243,946,4660,521,1315,770,545,0.439157,0.74981,0.782613,0.74981,0.750839,0.878216,0.664935,0.756837,0.647541,0.869725,0.742365
v5_tt_real_validation,flat_vae,./datasets/baselines/TT_normal_flat_vae_synthetic.pt,./datasets/baselines/TT_abnormal_flat_vae_synthetic.pt,0.0,0.0,100.0,0.2,0.1,3,0,8753,0,0,4970,3783,1243,946,497,379,1243,946,5192,521,1315,770,545,4.425267,0.624335,0.69292,0.624335,0.529498,0.612013,0.979221,0.753247,0.807229,0.122936,0.213376
