elapsed_seconds,pid_count,process_tree_cpu_pct,system_cpu_pct,process_tree_cpu_seconds,process_tree_rss_mb,process_tree_vms_mb,gpu_count,gpu_util_max_pct,gpu_util_avg_pct,gpu_mem_used_max_mb,gpu_mem_used_total_mb,gpu_mem_total_mb,gpu_power_draw_total_w,process_tree_gpu_mem_mb,process_tree_gpu_process_count
0.001368,1,,,0.0,10.632812,14.351562,1,0.0,0.0,560.0,560.0,8188.0,15.24,0.0,0
2.048306,2,185.154612,13.044813,3.79,750.589844,10458.359375,1,13.0,13.0,566.0,566.0,8188.0,18.55,0.0,0
4.087987,2,99.525322,7.120933,5.82,788.777344,10495.066406,1,5.0,5.0,556.0,556.0,8188.0,18.57,0.0,0
6.126298,2,97.629851,7.711214,7.81,1496.507812,12312.347656,1,23.0,23.0,745.0,745.0,8188.0,41.18,186.0,1
8.160585,2,99.297691,7.94335,9.83,1497.632812,12313.003906,1,23.0,23.0,749.0,749.0,8188.0,42.15,190.0,1
10.193558,2,99.361891,14.935464,11.85,1497.757812,12313.132812,1,36.0,36.0,754.0,754.0,8188.0,47.94,190.0,1
12.230171,2,99.675295,12.577065,13.88,1497.882812,12313.132812,1,29.0,29.0,754.0,754.0,8188.0,42.19,190.0,1
14.266653,2,99.681713,12.484587,15.91,1497.882812,12313.132812,1,28.0,28.0,749.0,749.0,8188.0,42.12,190.0,1
16.302615,2,98.724801,12.761378,17.92,1497.882812,12313.132812,1,29.0,29.0,749.0,749.0,8188.0,41.91,190.0,1
18.340754,2,99.600683,13.351835,19.95,1497.882812,12313.132812,1,26.0,26.0,749.0,749.0,8188.0,42.47,190.0,1
20.375919,2,99.254848,11.258482,21.97,1497.882812,12313.132812,1,27.0,27.0,749.0,749.0,8188.0,41.83,190.0,1
22.41056,2,99.771888,12.885327,24.0,1497.882812,12313.132812,1,33.0,33.0,749.0,749.0,8188.0,42.59,190.0,1
24.44731,2,99.177642,15.40832,26.02,1498.007812,12313.132812,1,34.0,34.0,749.0,749.0,8188.0,42.86,190.0,1
26.485101,2,99.617674,13.419913,28.05,1498.007812,12313.132812,1,22.0,22.0,749.0,749.0,8188.0,42.28,190.0,1
28.521126,2,98.721783,9.2085,30.06,1498.007812,12313.132812,1,33.0,33.0,762.0,762.0,8188.0,43.87,190.0,1
30.555659,2,99.777184,10.497067,32.09,1498.007812,12313.132812,1,34.0,34.0,802.0,802.0,8188.0,47.05,190.0,1
32.590163,2,99.287114,9.756098,34.11,1498.007812,12313.132812,1,28.0,28.0,793.0,793.0,8188.0,43.47,190.0,1
34.625948,2,100.207,10.728558,36.15,1498.007812,12313.132812,1,23.0,23.0,785.0,785.0,8188.0,43.02,190.0,1
36.666613,2,98.987356,10.929299,38.17,1498.007812,12313.132812,1,37.0,37.0,732.0,732.0,8188.0,45.44,190.0,1
38.699755,2,99.353619,9.771887,40.19,1498.007812,12313.132812,1,29.0,29.0,732.0,732.0,8188.0,43.24,190.0,1
40.735025,2,99.249744,9.744851,42.21,1498.007812,12313.132812,1,43.0,43.0,734.0,734.0,8188.0,43.35,190.0,1
42.775409,2,99.49105,17.962963,44.24,1498.007812,12313.132812,1,33.0,33.0,741.0,741.0,8188.0,50.29,190.0,1
44.811678,2,99.201041,12.361282,46.26,1498.007812,12313.132812,1,45.0,45.0,740.0,740.0,8188.0,43.94,190.0,1
46.846377,2,99.769082,13.691027,48.29,1498.007812,12313.132812,1,28.0,28.0,740.0,740.0,8188.0,43.38,190.0,1
48.882106,2,99.227356,13.232572,50.31,1498.007812,12313.132812,1,40.0,40.0,739.0,739.0,8188.0,42.76,190.0,1
50.918003,2,99.219141,14.823965,52.33,1498.007812,12313.132812,1,25.0,25.0,732.0,732.0,8188.0,46.52,190.0,1
52.955158,2,99.648779,13.874264,54.36,1498.007812,12313.132812,1,24.0,24.0,732.0,732.0,8188.0,45.12,190.0,1
