real_traces,synthetic_traces,service_js_distance,operation_js_distance,service_operation_js_distance,duration_wasserstein,duration_mean_mae,node_count_mae,edge_count_mae,depth_mae,edge_count_wasserstein,depth_wasserstein,system,preset,stratum,real_total_before_sampling,real_sample_size,real_small_count,real_medium_count,real_large_count,real_very_large_count,synthetic_small_count,synthetic_medium_count,synthetic_large_count,synthetic_very_large_count,target_small_count,target_medium_count,target_large_count,target_very_large_count,synthetic_small_shortfall,synthetic_medium_shortfall,synthetic_large_shortfall,synthetic_very_large_shortfall,target_bin_count,synthetic_bin_shortfall
25428,25428,0.06588758006636622,0.18026143159913405,0.18026143159913405,0.27371273137520713,0.07243766950222774,0.0,18.719954380997322,3.743825703948403,21.938532326569135,3.744690891930156,SN,anomaly_combined,all_stratified,25428,25428,3816,8314,7125,6173,3816,8314,7125,6173,3816,8314,7125,6173,0,0,0,0,,
3816,3816,0.01309324865009803,0.022361384736608057,0.022361384736607818,0.1316606762311804,0.05630637133540617,0.0,6.937893081761007,1.7974318658280923,6.937893081761007,1.7974318658280923,SN,anomaly_combined,small,25428,25428,,,,,,,,,,,,,,,,,3816,0
8314,8314,0.012279235158191591,0.021298621109885344,0.021298621109885344,0.11523862389805252,0.010045070855698057,0.0,9.433485686793361,2.654077459706519,9.478229492422418,2.661294202549916,SN,anomaly_combined,medium,25428,25428,,,,,,,,,,,,,,,,,8314,0
7125,7125,0.012841802168849356,0.016241181127960913,0.016241181127960917,0.08269015605108279,0.04914090852512043,0.0,4.375578947368423,3.8077192982456145,8.151859649122807,3.817824561403509,SN,anomaly_combined,large,25428,25428,,,,,,,,,,,,,,,,,7125,0
6173,6173,0.07749367444800659,0.21630368122073912,0.21630368122073912,0.35248882905023204,0.09626234430367298,0.0,99.15632593552567,6.341001133970517,99.15632593552567,6.344565041308925,SN,anomaly_combined,very_large,25428,25428,,,,,,,,,,,,,,,,,6173,0
10942,10942,0.1037038347535562,0.12262771392065408,0.12490087862464323,0.1194237130742682,0.10893841123929704,5.590842624748675,9.851306890879181,1.3475598610857245,9.851306890879181,1.3475598610857247,TT,anomaly_combined,all_stratified,10942,10942,6660,1988,16,2278,6660,1988,16,2278,6660,1988,16,2278,0,0,0,1047,,
6660,6660,0.1819678118672947,0.19445141280680206,0.19464020135656698,0.4275370078199763,0.4067019872321094,0.0,0.29579579579579585,0.2963963963963964,0.29579579579579574,0.29639639639639637,TT,anomaly_combined,small,10942,10942,,,,,,,,,,,,,,,,,6660,0
1988,1988,0.040071658813364594,0.08082444408015615,0.08327253104340913,0.19161608130738889,0.17902620493686605,0.0,3.756036217303823,1.8903420523138834,3.756036217303823,1.8903420523138834,TT,anomaly_combined,medium,10942,10942,,,,,,,,,,,,,,,,,1988,0
16,16,0.10772670558075548,0.1371439839737966,0.14458639315884217,1.022970871713788,0.358329244034282,0.0,14.5,3.75,14.5,3.75,TT,anomaly_combined,large,10942,10942,,,,,,,,,,,,,,,,,16,0
2278,2278,0.09596219114433649,0.08206605483048625,0.10399137541309746,0.13924498844266114,0.11184003827918154,26.85469710272169,43.07462686567165,3.9302019315188756,43.07462686567165,3.9302019315188765,TT,anomaly_combined,very_large,10942,10942,,,,,,,,,,,,,,,,,2278,1047
