system,generator,trace_class,real_graphs,synthetic_graphs,node_count_ks_similarity,node_count_ks_stat,edge_count_ks_similarity,edge_count_ks_stat,density_ks_similarity,density_ks_stat,avg_degree_ks_similarity,avg_degree_ks_stat,max_degree_ks_similarity,max_degree_ks_stat,roots_ratio_ks_similarity,roots_ratio_ks_stat,leaves_ratio_ks_similarity,leaves_ratio_ks_stat,duration_mean_ks_similarity,duration_mean_ks_stat,duration_std_ks_similarity,duration_std_ks_stat,unique_services_ks_similarity,unique_services_ks_stat,unique_ops_ks_similarity,unique_ops_ks_stat,all_degrees_ks_similarity,all_degrees_ks_stat,all_durations_ks_similarity,all_durations_ks_stat,node_count_wasserstein_similarity,node_count_wasserstein_distance,edge_count_wasserstein_similarity,edge_count_wasserstein_distance,density_wasserstein_similarity,density_wasserstein_distance,avg_degree_wasserstein_similarity,avg_degree_wasserstein_distance,service_js_similarity,operation_js_similarity,service_operation_js_similarity,service_operation_valid_mass,graph_feature_mmd_similarity,graph_feature_mmd,structural_ks_mean,semantic_mean,overall_fidelity
TT,random_sampling,normal,1000,1000,0.352,0.648,0.385,0.615,0.46399999999999997,0.536,0.525,0.475,0.738,0.262,0.6639999999999999,0.336,0.613,0.387,0.0,1.0,0.0030000000000000027,0.997,0.02400000000000002,0.976,0.02200000000000002,0.978,0.6591954795362772,0.3408045204637228,0.004272777981756737,0.9957272220182433,0.2763112818850978,78.162,0.28369477412539623,69.16499999999999,0.3273669266446382,0.11469608327788737,0.37077856004087684,1.919236535977841,0.640519343158521,0.40422911249141,0.11237521577090559,0.09569001435118744,0.5605618298917537,0.5788157305257402,0.5205325799227128,0.313203421443006,0.27971412184784583
TT,random_sampling,abnormal,1000,1000,0.554,0.446,0.629,0.371,0.616,0.384,0.5680000000000001,0.432,0.7110000000000001,0.289,0.43500000000000005,0.565,0.42700000000000005,0.573,0.0030000000000000027,0.997,0.0030000000000000027,0.997,0.20699999999999996,0.793,0.20799999999999996,0.792,0.6892411563721494,0.3107588436278505,0.027307575607623757,0.9726924243923762,0.6657758094074526,4.377000000000001,0.661117381489842,3.6029999999999998,0.30710123986972593,0.14835704646660525,0.496342033329882,1.056025391821128,0.6683483078454928,0.4490028652600988,0.11644947565733021,0.0961362248014661,0.6448001924059013,0.43881478939351415,0.627873526062025,0.332484218391097,0.32709310249332935
TT,random_sampling,combined,2000,2000,0.5375,0.4625,0.5915,0.4085,0.5665,0.4335,0.5465,0.4535,0.788,0.212,0.7110000000000001,0.289,0.632,0.368,0.0014999999999999458,0.9985,0.0034999999999999476,0.9965,0.11550000000000005,0.8845,0.11499999999999999,0.885,0.8219243799957603,0.17807562000423977,0.010704698163416015,0.989295301836584,0.3277264432168189,40.706500000000005,0.33587088347793637,35.594,0.3384743780794436,0.1315265648722463,0.421930272940631,1.487630076588038,0.650623082771252,0.4174655212768421,0.11411638319560913,0.09573826805724148,0.6237859036320823,0.47194807263977756,0.64198739666596,0.31948581382523616,0.3194927624573389
TT,flat_vae,normal,1000,1000,0.976,0.024,0.727,0.273,0.757,0.243,0.489,0.511,0.771,0.229,0.759,0.241,0.567,0.433,0.41700000000000004,0.583,0.28300000000000003,0.717,0.698,0.302,0.745,0.255,0.3880938845201387,0.6119061154798613,0.6714404831567553,0.32855951684324475,0.961369149719686,1.4289999999999998,0.48317647961638044,449.2990000000001,0.7474247369260736,0.03823542399849117,0.35098566874988435,10.201146014630343,0.4925551930970825,0.508796489794304,0.25102472172704504,0.42176391919476314,0.8637083222416986,0.14652015717244682,0.6846823140866897,0.41853508095329867,0.6110732400876885
TT,flat_vae,abnormal,1000,1000,0.972,0.028,0.736,0.264,0.796,0.204,0.478,0.522,0.6910000000000001,0.309,0.7130000000000001,0.287,0.497,0.503,0.19899999999999995,0.801,0.0040000000000000036,0.996,0.704,0.296,0.6,0.4,0.394544596413158,0.605455403586842,0.7196798735311357,0.2803201264688643,0.9570340274250888,0.4230000000000004,0.39211162257198096,18.191,0.6958522769623502,0.0676937092595862,0.32857283001335624,2.1327411347869014,0.614232609843271,0.5669567038453819,0.29004032808772096,0.36913606452982384,0.815866562591161,0.2035044636262251,0.677924099402193,0.46009142657654944,0.5745123924202078
TT,flat_vae,combined,2000,2000,0.9745,0.0255,0.7855,0.2145,0.7785,0.2215,0.48350000000000004,0.5165,0.7855,0.2145,0.741,0.259,0.532,0.468,0.30900000000000005,0.691,0.17700000000000005,0.823,0.7010000000000001,0.299,0.6725,0.3275,0.41746930370240243,0.5825306962975976,0.7399628909064015,0.26003710909359845,0.9675221709236428,0.925999999999995,0.6274979532982559,233.2019999999999,0.7245972466688686,0.05149354289225241,0.4604609237662094,6.158738548253593,0.5262799783374796,0.5280941552741998,0.26463421759755545,0.40865842055185536,0.859446239914506,0.15146700420793535,0.7041615506170671,0.4319166929402725,0.6088974748756495
TT,hierarchical_vae,normal,1000,535,0.7130000000000001,0.287,0.49189719626168227,0.5081028037383177,0.47576635514018695,0.524233644859813,0.3532710280373832,0.6467289719626168,0.4021775700934579,0.5978224299065421,0.47676635514018695,0.523233644859813,0.4898504672897196,0.5101495327102804,0.11489719626168227,0.8851028037383177,0.20669158878504668,0.7933084112149533,0.7383177570093458,0.2616822429906542,0.6841121495327103,0.31588785046728973,0.8152434119204054,0.1847565880795946,0.8132797405593953,0.18672025944060466,0.36126487812148866,20.51963551401869,0.21215540172746317,24.894028037383176,0.6541252370520788,0.04376508929813443,0.3827841760404116,0.99551259723842,0.3890419075184698,0.3999350306556809,0.3178981363001657,0.6277064955894146,0.7345646663685386,0.30847724589775094,0.5418925935755193,0.4336453925159328,0.5276559178562137
TT,hierarchical_vae,abnormal,1000,575,0.9913913043478261,0.008608695652173913,0.5756521739130435,0.42434782608695654,0.3860869565217391,0.6139130434782609,0.3843478260869565,0.6156521739130435,0.46608695652173915,0.5339130434782609,0.3843478260869565,0.6156521739130435,0.11282608695652174,0.8871739130434783,0.11539130434782607,0.8846086956521739,0.23917391304347824,0.7608260869565218,0.6869565217391305,0.3130434782608696,0.6382608695652174,0.3617391304347826,0.31725658734141926,0.6827434126585807,0.7583733685961236,0.24162663140387639,0.9887164086824033,0.11108695652173928,0.25812294803577485,6.553000000000001,0.543175774759409,0.09167456787842321,0.39918667974516464,0.9591448036370931,0.4340579054381831,0.4489233780327717,0.3626406359795281,0.686796498123995,0.7090498198427402,0.34382948715740347,0.5201369674554539,0.48310460439361946,0.5172112129271527
TT,hierarchical_vae,combined,2000,1110,0.8565,0.1435,0.5567567567567567,0.44324324324324327,0.4923918918918919,0.5076081081081081,0.36936936936936937,0.6306306306306306,0.45765765765765765,0.5423423423423424,0.49289189189189186,0.5071081081081081,0.3769954954954955,0.6230045045045045,0.11584684684684687,0.8841531531531531,0.2239189189189189,0.7760810810810811,0.7117117117117118,0.2882882882882883,0.6603603603603604,0.3396396396396396,0.7229754103738019,0.27702458962619814,0.7844492949588747,0.21555070504112528,0.5741006443606396,10.307963963963958,0.3356298243755743,15.727999999999993,0.5889695781372382,0.06724714362862319,0.3911663809762709,0.976970681315361,0.40863965967033866,0.42597040082505466,0.3390736321092379,0.6589513462446859,0.7284298533847489,0.3168639470910717,0.575941847674913,0.4581587597123293,0.5325653205155426
SN,random_sampling,normal,1000,1000,0.14100000000000001,0.859,0.135,0.865,0.24,0.76,0.506,0.494,0.751,0.249,0.531,0.469,0.507,0.493,0.0,1.0,0.0020000000000000018,0.998,0.15200000000000002,0.848,0.030000000000000027,0.97,0.5215880289671053,0.47841197103289473,0.002879547998847265,0.9971204520011527,0.07866829727619318,641.866,0.07824534309895725,607.605,0.35221998506277474,0.0788930254688727,0.4392921419103779,3.5426568722332292,0.6957496305244639,0.708451223175899,0.10399962645278393,0.08339649074456847,0.5418816975191295,0.6127075716268195,0.3824313381611842,0.3978992427244289,0.265018365280718
