run_order,system,generator,real_percent_requested,synthetic_percent_requested,real_percent_actual,synth_percent_actual,mode_version,syn_normal_path,syn_abnormal_path,real_holdout_ratio,real_val_ratio,min_nodes_filter,max_synth_per_class,train_real_total,train_synth_total,train_normal_real,train_abnormal_real,train_normal_synth,train_abnormal_synth,val_normal_synth,val_abnormal_synth,val_normal_real,val_abnormal_real,test_normal_real,test_abnormal_real,train_total_after_filter,val_total_after_filter,test_total_after_filter,test_normal_real_after_filter,test_abnormal_real_after_filter,test_loss,test_accuracy,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,abnormal_precision,abnormal_recall,abnormal_f1,resource_summary_csv,resource_timeseries_csv,resource_return_code,resource_wall_seconds,resource_process_tree_cpu_seconds,resource_process_tree_avg_cpu_pct,resource_process_tree_peak_rss_mb,resource_process_tree_peak_vms_mb,resource_gpu_peak_mem_used_total_mb,resource_process_tree_gpu_peak_mem_mb,resource_gpu_peak_util_pct,resource_samples
1,TT,hierarchical_vae,0,100.0,0.0,100.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,0,952,0,0,492,460,124,115,304,216,760,540,952,239,1300,760,540,0.849017,0.603846,0.61864,0.603846,0.6067,0.689335,0.586842,0.633973,0.519142,0.627778,0.568315,,,,,,,,,,,,
2,TT,hierarchical_vae,10,90.0,10.028,89.972,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,106,951,62,44,491,460,124,115,304,216,760,540,1057,520,1300,760,540,0.5551,0.700769,0.706275,0.700769,0.702363,0.762376,0.709211,0.734833,0.627319,0.688889,0.656664,,,,,,,,,,,,
3,TT,hierarchical_vae,30,70.0,30.0,70.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,408,952,239,169,492,460,124,115,304,216,760,540,1360,520,1300,760,540,0.487144,0.723077,0.780577,0.723077,0.721371,0.9,0.592105,0.714286,0.6125,0.907407,0.731343,,,,,,,,,,,,
4,TT,hierarchical_vae,50,50.0,50.0,50.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,952,952,557,395,492,460,124,115,304,216,760,540,1904,520,1300,760,540,0.462966,0.726923,0.772205,0.726923,0.726666,0.879925,0.617105,0.725445,0.6206,0.881481,0.728386,,,,,,,,,,,,
5,TT,hierarchical_vae,70,30.0,69.997,30.003,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,2221,952,1299,922,492,460,124,115,304,216,760,540,3173,520,1300,760,540,0.447279,0.723077,0.738158,0.723077,0.72507,0.809598,0.688158,0.743954,0.637615,0.772222,0.698492,,,,,,,,,,,,
6,TT,hierarchical_vae,100,0.0,100.0,0.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,4676,0,2735,1941,0,0,124,115,304,216,760,540,4676,520,1300,760,540,0.43882,0.727692,0.835519,0.727692,0.719967,1.0,0.534211,0.696398,0.604027,1.0,0.753138,,,,,,,,,,,,
7,TT,flat_vae,0,100.0,0.0,100.0,v5_tt_real_validation,./datasets/baselines/TT_normal_flat_vae_synthetic.pt,./datasets/baselines/TT_abnormal_flat_vae_synthetic.pt,0.2,0.1,3,,0,888,0,0,428,460,107,115,304,216,760,540,888,222,1300,760,540,1.987364,0.606154,0.679055,0.606154,0.489536,0.599042,0.986842,0.745527,0.791667,0.07037,0.129252,,,,,,,,,,,,
8,TT,flat_vae,10,90.0,10.041,89.959,v5_tt_real_validation,./datasets/baselines/TT_normal_flat_vae_synthetic.pt,./datasets/baselines/TT_abnormal_flat_vae_synthetic.pt,0.2,0.1,3,,99,887,58,41,428,459,107,115,304,216,760,540,986,520,1300,760,540,0.50797,0.679231,0.674712,0.679231,0.673533,0.701528,0.785526,0.741155,0.636971,0.52963,0.578362,,,,,,,,,,,,
9,TT,flat_vae,30,70.0,29.968,70.032,v5_tt_real_validation,./datasets/baselines/TT_normal_flat_vae_synthetic.pt,./datasets/baselines/TT_abnormal_flat_vae_synthetic.pt,0.2,0.1,3,,380,888,222,158,428,460,107,115,304,216,760,540,1268,520,1300,760,540,0.459028,0.736923,0.794092,0.736923,0.735487,0.914683,0.606579,0.72943,0.624372,0.92037,0.744012,,,,,,,,,,,,
10,TT,flat_vae,50,50.0,50.0,50.0,v5_tt_real_validation,./datasets/baselines/TT_normal_flat_vae_synthetic.pt,./datasets/baselines/TT_abnormal_flat_vae_synthetic.pt,0.2,0.1,3,,888,888,519,369,428,460,107,115,304,216,760,540,1776,520,1300,760,540,0.452498,0.734615,0.787928,0.734615,0.733568,0.904483,0.610526,0.728987,0.623888,0.909259,0.740015,,,,,,,,,,,,
