elapsed_seconds,pid_count,process_tree_cpu_pct,system_cpu_pct,process_tree_cpu_seconds,process_tree_rss_mb,process_tree_vms_mb,gpu_count,gpu_util_max_pct,gpu_util_avg_pct,gpu_mem_used_max_mb,gpu_mem_used_total_mb,gpu_mem_total_mb,gpu_power_draw_total_w,process_tree_gpu_mem_mb,process_tree_gpu_process_count
0.000857,1,,,0.0,10.625,13.304688,1,0.0,0.0,729.0,729.0,8188.0,17.86,0.0,0
2.039426,1,189.839096,14.053391,3.87,934.964844,11578.292969,1,19.0,19.0,880.0,880.0,8188.0,18.08,140.0,1
4.080717,1,99.446846,16.62554,5.9,1595.816406,12517.09375,1,33.0,33.0,916.0,916.0,8188.0,39.86,230.0,1
6.116717,1,99.705292,14.963054,7.93,1618.515625,12545.285156,1,27.0,27.0,912.0,912.0,8188.0,39.23,230.0,1
8.15537,1,99.575581,16.605052,9.96,1619.390625,12545.929688,1,36.0,36.0,908.0,908.0,8188.0,43.91,230.0,1
10.191513,1,99.698311,17.191358,11.99,1619.515625,12545.929688,1,43.0,43.0,908.0,908.0,8188.0,42.28,230.0,1
12.229486,1,99.60877,16.507251,14.02,1619.515625,12545.929688,1,49.0,49.0,908.0,908.0,8188.0,46.13,230.0,1
14.267024,1,99.139241,13.407134,16.04,1619.640625,12546.058594,1,33.0,33.0,908.0,908.0,8188.0,45.37,230.0,1
16.305255,1,99.105541,19.606033,18.06,1619.640625,12546.058594,1,38.0,38.0,908.0,908.0,8188.0,40.24,230.0,1
18.34187,1,99.184214,13.770795,20.08,1619.640625,12546.058594,1,32.0,32.0,908.0,908.0,8188.0,41.01,230.0,1
20.378118,1,99.693163,12.881356,22.11,1619.640625,12546.058594,1,27.0,27.0,908.0,908.0,8188.0,39.47,230.0,1
22.413554,1,99.241594,13.423645,24.13,1619.640625,12546.058594,1,33.0,33.0,908.0,908.0,8188.0,40.51,230.0,1
24.448858,1,99.739397,13.775039,26.16,1619.640625,12546.058594,1,28.0,28.0,908.0,908.0,8188.0,39.96,230.0,1
26.484511,1,99.722318,18.699938,28.19,1619.640625,12546.1875,1,39.0,39.0,908.0,908.0,8188.0,41.22,230.0,1
28.523434,1,99.071899,16.204559,30.21,1619.640625,12546.1875,1,32.0,32.0,908.0,908.0,8188.0,40.26,230.0,1
30.558704,1,99.741103,16.95491,32.24,1619.640625,12546.1875,1,40.0,40.0,908.0,908.0,8188.0,47.64,230.0,1
32.592735,1,98.818534,18.669131,34.25,1619.640625,12546.1875,1,25.0,25.0,908.0,908.0,8188.0,46.48,230.0,1
34.62882,1,99.701124,13.714637,36.28,1619.640625,12546.1875,1,37.0,37.0,908.0,908.0,8188.0,41.3,230.0,1
36.664823,1,99.705175,19.464945,38.31,1619.640625,12546.1875,1,45.0,45.0,908.0,908.0,8188.0,43.03,230.0,1
38.702023,1,99.646575,24.652885,40.34,1619.640625,12546.1875,1,32.0,32.0,908.0,908.0,8188.0,46.49,230.0,1
40.736784,1,99.274549,17.628898,42.36,1619.640625,12546.1875,1,46.0,46.0,908.0,908.0,8188.0,47.63,230.0,1
42.775268,1,99.093255,17.03178,44.38,1619.640625,12546.1875,1,25.0,25.0,908.0,908.0,8188.0,47.04,230.0,1
44.810052,1,99.764885,19.076923,46.41,1619.640625,12546.1875,1,32.0,32.0,908.0,908.0,8188.0,47.56,230.0,1
46.851061,1,99.460636,19.593346,48.44,1619.640625,12546.1875,1,40.0,40.0,908.0,908.0,8188.0,47.63,230.0,1
48.887445,1,99.686463,21.384615,50.47,1619.640625,12546.1875,1,41.0,41.0,908.0,908.0,8188.0,47.86,230.0,1
50.927492,1,99.01733,18.651893,52.49,1619.640625,12546.1875,1,33.0,33.0,908.0,908.0,8188.0,47.67,230.0,1
52.964679,1,100.138101,18.333333,54.53,1619.640625,12546.1875,1,49.0,49.0,908.0,908.0,8188.0,47.14,230.0,1
54.998507,1,99.320076,16.42527,56.55,1619.640625,12546.1875,1,44.0,44.0,908.0,908.0,8188.0,48.29,230.0,1
57.034876,1,98.705116,24.375963,58.56,1619.640625,12546.1875,1,27.0,27.0,908.0,908.0,8188.0,48.68,230.0,1
59.073551,1,99.574487,17.119062,60.59,1619.640625,12546.1875,1,28.0,28.0,908.0,908.0,8188.0,45.15,230.0,1
61.10821,1,99.771023,14.083205,62.62,1619.640625,12546.1875,1,35.0,35.0,908.0,908.0,8188.0,41.81,230.0,1
63.144457,1,99.693186,23.129252,64.65,1619.640625,12546.1875,1,39.0,39.0,908.0,908.0,8188.0,47.7,230.0,1
65.179476,1,99.261976,16.14792,66.67,1619.640625,12546.1875,1,35.0,35.0,908.0,908.0,8188.0,45.82,230.0,1
67.217018,1,99.629878,18.417,68.7,1619.640625,12546.1875,1,39.0,39.0,908.0,908.0,8188.0,41.75,230.0,1
69.254913,1,99.121878,23.110151,70.72,1619.640625,12546.1875,1,57.0,57.0,908.0,908.0,8188.0,47.71,230.0,1
71.292666,1,99.619515,23.270827,72.75,1619.640625,12546.1875,1,29.0,29.0,908.0,908.0,8188.0,47.89,230.0,1
73.339119,1,99.196012,15.275639,74.78,1619.640625,12546.1875,1,23.0,23.0,908.0,908.0,8188.0,47.34,230.0,1
75.374308,1,99.74504,20.634432,76.81,1619.640625,12546.1875,1,44.0,44.0,908.0,908.0,8188.0,48.47,230.0,1
77.410735,1,99.684409,17.554666,78.84,1619.640625,12546.1875,1,32.0,32.0,908.0,908.0,8188.0,47.2,230.0,1
79.447524,1,99.175704,13.185459,80.86,1619.640625,12546.1875,1,33.0,33.0,908.0,908.0,8188.0,41.71,230.0,1
