elapsed_seconds,pid_count,process_tree_cpu_pct,system_cpu_pct,process_tree_cpu_seconds,process_tree_rss_mb,process_tree_vms_mb,gpu_count,gpu_util_max_pct,gpu_util_avg_pct,gpu_mem_used_max_mb,gpu_mem_used_total_mb,gpu_mem_total_mb,gpu_power_draw_total_w,process_tree_gpu_mem_mb,process_tree_gpu_process_count
0.000954,1,,,0.0,10.652344,13.304688,1,10.0,10.0,683.0,683.0,8188.0,44.97,0.0,0
2.037978,1,181.146548,20.244275,3.69,782.136719,11131.085938,1,39.0,39.0,698.0,698.0,8188.0,24.49,20.0,1
4.090399,1,99.394831,15.782984,5.73,1586.5,12474.351562,1,36.0,36.0,898.0,898.0,8188.0,44.33,210.0,1
6.126765,1,99.687373,11.237685,7.76,1609.382812,12502.464844,1,27.0,27.0,898.0,898.0,8188.0,43.21,210.0,1
8.160963,1,99.302056,11.165947,9.78,1610.132812,12503.238281,1,30.0,30.0,898.0,898.0,8188.0,44.08,210.0,1
10.196465,1,99.729689,12.092308,11.81,1610.132812,12535.238281,1,32.0,32.0,918.0,918.0,8188.0,44.07,230.0,1
12.234389,1,99.120498,19.278223,13.83,1610.132812,12535.238281,1,36.0,36.0,918.0,918.0,8188.0,44.28,230.0,1
14.272554,1,100.089992,18.782662,15.87,1610.257812,12535.238281,1,46.0,46.0,918.0,918.0,8188.0,52.0,230.0,1
16.307434,1,99.76021,19.34093,17.9,1610.257812,12535.238281,1,42.0,42.0,918.0,918.0,8188.0,50.88,230.0,1
18.345356,1,99.120579,14.65145,19.92,1610.257812,12535.367188,1,35.0,35.0,918.0,918.0,8188.0,46.48,230.0,1
20.379872,1,99.286509,12.939002,21.94,1610.257812,12535.367188,1,31.0,31.0,918.0,918.0,8188.0,43.04,230.0,1
22.417961,1,99.603107,18.442118,23.97,1610.257812,12535.367188,1,36.0,36.0,918.0,918.0,8188.0,43.99,230.0,1
24.454166,1,99.69524,17.862642,26.0,1610.257812,12535.367188,1,26.0,26.0,918.0,918.0,8188.0,48.09,230.0,1
26.488479,1,99.296423,17.186054,28.02,1610.257812,12535.367188,1,43.0,43.0,918.0,918.0,8188.0,51.75,230.0,1
28.523299,1,99.763155,14.896891,30.05,1610.257812,12535.367188,1,32.0,32.0,918.0,918.0,8188.0,51.47,230.0,1
30.558597,1,99.248337,12.788196,32.07,1610.257812,12535.367188,1,31.0,31.0,918.0,918.0,8188.0,43.66,230.0,1
32.597999,1,99.048654,16.199569,34.09,1610.382812,12535.367188,1,48.0,48.0,918.0,918.0,8188.0,44.95,230.0,1
34.635618,1,100.116846,25.030826,36.13,1610.382812,12535.367188,1,42.0,42.0,918.0,918.0,8188.0,51.84,230.0,1
36.670147,1,99.285904,17.969231,38.15,1610.382812,12535.367188,1,32.0,32.0,918.0,918.0,8188.0,51.23,230.0,1
38.708969,1,99.0768,13.281972,40.17,1610.507812,12535.367188,1,41.0,41.0,918.0,918.0,8188.0,52.41,230.0,1
