elapsed_seconds,pid_count,process_tree_cpu_pct,system_cpu_pct,process_tree_cpu_seconds,process_tree_rss_mb,process_tree_vms_mb,gpu_count,gpu_util_max_pct,gpu_util_avg_pct,gpu_mem_used_max_mb,gpu_mem_used_total_mb,gpu_mem_total_mb,gpu_power_draw_total_w,process_tree_gpu_mem_mb,process_tree_gpu_process_count
0.000902,1,,,0.0,10.496094,14.117188,1,9.0,9.0,638.0,638.0,8188.0,45.96,0.0,0
2.036447,1,182.260803,16.985203,3.71,717.765625,10920.0,1,10.0,10.0,641.0,641.0,8188.0,35.01,0.0,0
4.072222,1,100.207564,15.24428,5.75,1606.261719,12492.632812,1,32.0,32.0,852.0,852.0,8188.0,45.21,208.0,1
6.110273,1,100.095601,14.748534,7.79,1606.386719,12492.761719,1,29.0,29.0,852.0,852.0,8188.0,45.5,208.0,1
8.145576,1,98.7568,15.931373,9.8,1606.386719,12492.761719,1,30.0,30.0,852.0,852.0,8188.0,45.51,208.0,1
10.182757,1,99.647496,23.147301,11.83,1606.511719,12492.761719,1,36.0,36.0,854.0,854.0,8188.0,46.25,208.0,1
12.219425,1,99.181601,16.400491,13.85,1606.636719,12492.761719,1,25.0,25.0,881.0,881.0,8188.0,50.14,208.0,1
14.253702,1,99.298192,15.725928,15.87,1606.636719,12492.761719,1,26.0,26.0,873.0,873.0,8188.0,45.64,208.0,1
16.288462,1,99.766042,21.054235,17.9,1606.636719,12492.890625,1,41.0,41.0,866.0,866.0,8188.0,46.83,208.0,1
18.323711,1,99.25079,21.776417,19.92,1606.636719,12492.890625,1,37.0,37.0,852.0,852.0,8188.0,46.65,208.0,1
20.360836,1,99.159337,23.802211,21.94,1606.636719,12492.890625,1,38.0,38.0,852.0,852.0,8188.0,46.46,208.0,1
22.400409,1,99.530628,19.61752,23.97,1606.636719,12492.890625,1,38.0,38.0,852.0,852.0,8188.0,46.64,208.0,1
24.438027,1,99.13539,17.340327,25.99,1606.636719,12492.890625,1,37.0,37.0,852.0,852.0,8188.0,46.54,208.0,1
26.475858,1,99.124963,24.908088,28.01,1606.636719,12492.890625,1,36.0,36.0,852.0,852.0,8188.0,48.16,208.0,1
28.514659,1,99.568339,17.574108,30.04,1606.636719,12492.890625,1,36.0,36.0,852.0,852.0,8188.0,46.8,208.0,1
30.552571,1,99.121078,20.218248,32.06,1606.636719,12492.890625,1,36.0,36.0,852.0,852.0,8188.0,49.95,208.0,1
32.591604,1,99.557011,19.370759,34.09,1606.636719,12492.890625,1,36.0,36.0,852.0,852.0,8188.0,49.96,208.0,1
34.629128,1,99.139926,17.313617,36.11,1606.636719,12492.890625,1,39.0,39.0,852.0,852.0,8188.0,46.57,208.0,1
36.667457,1,99.591352,15.735884,38.14,1606.636719,12492.890625,1,40.0,40.0,852.0,852.0,8188.0,46.49,208.0,1
38.704894,1,99.144183,16.486903,40.16,1606.636719,12492.890625,1,39.0,39.0,852.0,852.0,8188.0,46.5,208.0,1
40.743132,1,98.614597,17.278618,42.17,1606.636719,12492.890625,1,35.0,35.0,852.0,852.0,8188.0,46.43,208.0,1
