elapsed_seconds,pid_count,process_tree_cpu_pct,system_cpu_pct,process_tree_cpu_seconds,process_tree_rss_mb,process_tree_vms_mb,gpu_count,gpu_util_max_pct,gpu_util_avg_pct,gpu_mem_used_max_mb,gpu_mem_used_total_mb,gpu_mem_total_mb,gpu_power_draw_total_w,process_tree_gpu_mem_mb,process_tree_gpu_process_count
0.001122,1,,,0.0,10.996094,14.445312,1,7.0,7.0,638.0,638.0,8188.0,41.45,0.0,0
2.039066,1,176.648657,26.001232,3.6,704.359375,10906.578125,1,8.0,8.0,641.0,641.0,8188.0,29.75,0.0,0
4.076428,1,101.111138,19.882861,5.66,1578.863281,12461.761719,1,29.0,29.0,830.0,830.0,8188.0,44.98,186.0,1
6.113518,1,99.161032,20.344721,7.68,1579.113281,12461.890625,1,27.0,27.0,830.0,830.0,8188.0,45.22,186.0,1
8.150672,1,99.15798,19.569231,9.7,1579.113281,12461.890625,1,27.0,27.0,830.0,830.0,8188.0,45.07,186.0,1
10.189152,1,99.093417,18.694179,11.72,1579.113281,12461.890625,1,28.0,28.0,830.0,830.0,8188.0,45.11,186.0,1
12.226703,1,99.6294,19.403444,13.75,1579.113281,12461.890625,1,31.0,31.0,830.0,830.0,8188.0,44.77,186.0,1
14.269588,1,99.369283,19.593971,15.78,1579.113281,12461.890625,1,27.0,27.0,830.0,830.0,8188.0,45.35,186.0,1
16.307413,1,99.616019,18.403206,17.81,1579.113281,12461.890625,1,28.0,28.0,830.0,830.0,8188.0,45.24,186.0,1
18.346543,1,99.061868,20.864198,19.83,1579.113281,12461.890625,1,29.0,29.0,830.0,830.0,8188.0,45.43,186.0,1
20.385253,1,99.572763,19.79617,21.86,1579.113281,12461.890625,1,30.0,30.0,830.0,830.0,8188.0,45.79,186.0,1
22.423283,1,99.115303,15.135635,23.88,1579.113281,12461.890625,1,29.0,29.0,830.0,830.0,8188.0,45.04,186.0,1
24.459608,1,99.198312,16.306362,25.9,1579.113281,12461.890625,1,30.0,30.0,830.0,830.0,8188.0,44.95,186.0,1
