elapsed_seconds,pid_count,process_tree_cpu_pct,system_cpu_pct,process_tree_cpu_seconds,process_tree_rss_mb,process_tree_vms_mb,gpu_count,gpu_util_max_pct,gpu_util_avg_pct,gpu_mem_used_max_mb,gpu_mem_used_total_mb,gpu_mem_total_mb,gpu_power_draw_total_w,process_tree_gpu_mem_mb,process_tree_gpu_process_count
0.000916,1,,,0.0,11.421875,14.882812,1,24.0,24.0,874.0,874.0,8188.0,19.99,0.0,0
2.044733,1,187.394486,16.291962,3.83,717.046875,10918.742188,1,16.0,16.0,875.0,875.0,8188.0,22.98,0.0,0
4.085064,1,100.473888,18.223867,5.88,1588.035156,12451.226562,1,37.0,37.0,1086.0,1086.0,8188.0,43.21,208.0,1
6.126292,1,99.449913,11.915025,7.91,1588.160156,12451.355469,1,25.0,25.0,1086.0,1086.0,8188.0,47.69,208.0,1
8.164739,1,99.585644,18.366093,9.94,1588.285156,12451.355469,1,36.0,36.0,1087.0,1087.0,8188.0,49.68,208.0,1
10.21146,1,99.183024,19.580635,11.97,1588.410156,12451.355469,1,28.0,28.0,1106.0,1106.0,8188.0,47.74,228.0,1
12.249535,1,99.603794,10.086101,14.0,1588.410156,12451.484375,1,33.0,33.0,1105.0,1105.0,8188.0,41.18,228.0,1
14.289122,1,99.039646,8.773006,16.02,1588.410156,12451.484375,1,29.0,29.0,1088.0,1088.0,8188.0,40.91,228.0,1
16.328833,1,99.033661,9.280885,18.04,1588.660156,12451.484375,1,30.0,30.0,1088.0,1088.0,8188.0,40.98,228.0,1
18.366539,1,99.621823,8.680982,20.07,1588.660156,12451.484375,1,29.0,29.0,1088.0,1088.0,8188.0,40.93,228.0,1
20.404742,1,99.106921,8.968059,22.09,1588.660156,12451.484375,1,31.0,31.0,1088.0,1088.0,8188.0,41.08,228.0,1
22.444268,1,100.02323,8.951563,24.13,1588.660156,12451.484375,1,28.0,28.0,1088.0,1088.0,8188.0,40.99,228.0,1
24.487645,1,99.345329,10.153374,26.16,1588.660156,12451.484375,1,30.0,30.0,1088.0,1088.0,8188.0,41.02,228.0,1
26.527283,1,99.527451,10.027684,28.19,1588.660156,12451.484375,1,31.0,31.0,1088.0,1088.0,8188.0,41.16,228.0,1
28.565779,1,99.092698,10.076805,30.21,1588.660156,12451.484375,1,27.0,27.0,1088.0,1088.0,8188.0,41.27,228.0,1
30.603616,1,99.124673,8.202765,32.23,1588.785156,12451.484375,1,29.0,29.0,1088.0,1088.0,8188.0,41.14,228.0,1
32.642012,1,99.588113,9.054635,34.26,1588.785156,12451.484375,1,27.0,27.0,1088.0,1088.0,8188.0,41.13,228.0,1
34.681821,1,99.519145,9.493088,36.29,1588.785156,12451.484375,1,29.0,29.0,1088.0,1088.0,8188.0,41.18,228.0,1
36.720382,1,99.0895,9.732883,38.31,1588.785156,12451.484375,1,32.0,32.0,1088.0,1088.0,8188.0,41.47,228.0,1
38.761219,1,99.469002,10.092025,40.34,1588.785156,12451.484375,1,27.0,27.0,1089.0,1089.0,8188.0,41.69,228.0,1
40.800044,1,99.567151,8.507371,42.37,1588.785156,12451.484375,1,30.0,30.0,1089.0,1089.0,8188.0,41.25,228.0,1
42.83851,1,100.075242,9.138462,44.41,1588.785156,12451.484375,1,29.0,29.0,1089.0,1089.0,8188.0,41.33,228.0,1
44.876707,1,99.107222,13.298526,46.43,1588.785156,12451.484375,1,30.0,30.0,1105.0,1105.0,8188.0,41.81,228.0,1
46.922126,1,99.246159,13.117284,48.46,1588.785156,12451.484375,1,25.0,25.0,1105.0,1105.0,8188.0,47.43,228.0,1
48.960271,1,99.60038,10.76164,50.49,1588.785156,12451.484375,1,32.0,32.0,1105.0,1105.0,8188.0,41.48,228.0,1
50.998535,1,99.103918,10.963558,52.51,1588.785156,12451.484375,1,25.0,25.0,1088.0,1088.0,8188.0,41.74,228.0,1
53.036593,1,99.60461,9.895191,54.54,1588.785156,12451.484375,1,27.0,27.0,1088.0,1088.0,8188.0,41.34,228.0,1
55.074667,1,99.603876,14.861538,56.57,1588.785156,12451.484375,1,28.0,28.0,1088.0,1088.0,8188.0,42.99,228.0,1
57.112823,1,99.109182,19.420469,58.59,1588.785156,12451.484375,1,29.0,29.0,1088.0,1088.0,8188.0,42.79,228.0,1
59.154867,1,99.410202,12.117465,60.62,1588.785156,12451.484375,1,32.0,32.0,1090.0,1090.0,8188.0,42.09,228.0,1
61.193958,1,99.063756,16.841456,62.64,1588.785156,12451.484375,1,31.0,31.0,1088.0,1088.0,8188.0,42.57,228.0,1
63.236993,1,99.851433,13.228492,64.68,1588.785156,12451.484375,1,36.0,36.0,1088.0,1088.0,8188.0,44.46,228.0,1
65.277362,1,99.491829,11.672313,66.71,1588.785156,12451.484375,1,31.0,31.0,1088.0,1088.0,8188.0,43.99,228.0,1
67.320514,1,98.866844,14.144534,68.73,1588.785156,12451.484375,1,32.0,32.0,1088.0,1088.0,8188.0,42.91,228.0,1
69.35929,1,99.56955,14.712219,70.76,1588.785156,12451.484375,1,38.0,38.0,1088.0,1088.0,8188.0,42.96,228.0,1
71.402468,1,99.355009,14.709518,72.79,1588.785156,12451.484375,1,44.0,44.0,1088.0,1088.0,8188.0,48.14,228.0,1
73.441205,1,100.061947,14.978382,74.83,1588.785156,12451.484375,1,27.0,27.0,1088.0,1088.0,8188.0,42.76,228.0,1
75.481653,1,98.997858,8.597843,76.85,1588.785156,12451.484375,1,27.0,27.0,1088.0,1088.0,8188.0,41.54,228.0,1
77.520339,1,99.083451,8.78545,78.87,1588.785156,12451.484375,1,28.0,28.0,1088.0,1088.0,8188.0,41.46,228.0,1
79.558264,1,100.101819,13.880321,80.91,1588.785156,12451.484375,1,25.0,25.0,1088.0,1088.0,8188.0,49.06,228.0,1
81.597422,1,99.060478,10.021519,82.93,1588.785156,12451.484375,1,26.0,26.0,1088.0,1088.0,8188.0,41.76,228.0,1
83.64048,1,99.360852,13.353846,84.96,1588.910156,12451.484375,1,42.0,42.0,1088.0,1088.0,8188.0,44.3,228.0,1
85.680622,1,99.993048,9.572176,87.0,1588.910156,12451.484375,1,26.0,26.0,1088.0,1088.0,8188.0,43.12,228.0,1
87.719363,1,99.571273,9.403811,89.03,1588.910156,12451.484375,1,32.0,32.0,1088.0,1088.0,8188.0,42.05,228.0,1
89.759997,1,98.988848,9.797297,91.05,1588.910156,12451.484375,1,33.0,33.0,1088.0,1088.0,8188.0,41.99,228.0,1
91.798915,1,99.562599,8.328211,93.08,1588.910156,12451.484375,1,27.0,27.0,1088.0,1088.0,8188.0,41.95,228.0,1
93.836677,1,99.128349,9.60887,95.1,1588.910156,12451.484375,1,33.0,33.0,1088.0,1088.0,8188.0,43.01,228.0,1
95.876001,1,100.033146,8.884107,97.14,1588.910156,12451.484375,1,25.0,25.0,1088.0,1088.0,8188.0,41.87,228.0,1
97.914445,1,99.09519,14.378278,99.16,1588.910156,12451.484375,1,33.0,33.0,1106.0,1106.0,8188.0,50.58,228.0,1
99.952718,1,99.594101,10.325753,101.19,1588.910156,12451.484375,1,29.0,29.0,1105.0,1105.0,8188.0,42.17,228.0,1
101.993537,1,99.959884,12.958963,103.23,1588.910156,12451.484375,1,30.0,30.0,1112.0,1112.0,8188.0,44.38,228.0,1
104.038783,1,99.254581,11.241507,105.26,1588.910156,12451.484375,1,31.0,31.0,1111.0,1111.0,8188.0,49.3,228.0,1
106.076816,1,99.115176,9.722222,107.28,1588.910156,12451.484375,1,34.0,34.0,1111.0,1111.0,8188.0,42.94,228.0,1
108.114645,1,99.125079,8.97633,109.3,1588.910156,12451.484375,1,23.0,23.0,1140.0,1140.0,8188.0,43.32,228.0,1
110.151478,1,99.664526,7.869659,111.33,1588.910156,12451.484375,1,22.0,22.0,1140.0,1140.0,8188.0,41.87,228.0,1
112.189307,1,99.125091,7.432432,113.35,1589.058594,12483.484375,1,23.0,23.0,1164.0,1164.0,8188.0,41.44,252.0,1
114.226777,1,99.142605,7.460854,115.37,1589.058594,12483.484375,1,22.0,22.0,1164.0,1164.0,8188.0,41.64,252.0,1
116.264506,1,99.129962,8.543331,117.39,1589.058594,12483.484375,1,26.0,26.0,1164.0,1164.0,8188.0,41.85,252.0,1
118.302869,1,99.589721,7.621389,119.42,1589.058594,12483.484375,1,25.0,25.0,1164.0,1164.0,8188.0,41.75,252.0,1
120.340163,1,99.151133,7.564576,121.44,1589.058594,12483.484375,1,23.0,23.0,1164.0,1164.0,8188.0,41.68,252.0,1
122.377778,1,99.626264,7.767885,123.47,1589.058594,12483.484375,1,24.0,24.0,1164.0,1164.0,8188.0,41.67,252.0,1
124.415514,1,99.12959,7.309582,125.49,1589.058594,12483.484375,1,23.0,23.0,1164.0,1164.0,8188.0,41.49,252.0,1
126.453297,1,99.12734,7.977907,127.51,1589.058594,12483.484375,1,23.0,23.0,1164.0,1164.0,8188.0,41.51,252.0,1
