elapsed_seconds,pid_count,process_tree_cpu_pct,system_cpu_pct,process_tree_cpu_seconds,process_tree_rss_mb,process_tree_vms_mb,gpu_count,gpu_util_max_pct,gpu_util_avg_pct,gpu_mem_used_max_mb,gpu_mem_used_total_mb,gpu_mem_total_mb,gpu_power_draw_total_w,process_tree_gpu_mem_mb,process_tree_gpu_process_count
0.000837,1,,,0.0,11.921875,14.886719,1,6.0,6.0,906.0,906.0,8188.0,41.32,0.0,0
2.038112,1,190.450472,14.886433,3.88,742.78125,10944.039062,1,9.0,9.0,909.0,909.0,8188.0,25.22,0.0,0
4.077626,1,118.165389,8.761144,6.29,1645.8125,12527.234375,1,27.0,27.0,1118.0,1118.0,8188.0,29.99,206.0,1
6.115961,1,99.100499,7.831695,8.31,1646.6875,12527.492188,1,30.0,30.0,1140.0,1140.0,8188.0,45.92,228.0,1
8.154257,1,99.592982,7.772657,10.34,1646.9375,12527.621094,1,28.0,28.0,1140.0,1140.0,8188.0,46.38,228.0,1
10.192791,1,99.581369,7.838918,12.37,1646.9375,12527.621094,1,29.0,29.0,1140.0,1140.0,8188.0,46.1,228.0,1
12.230215,1,99.14481,7.682852,14.39,1646.9375,12527.621094,1,30.0,30.0,1140.0,1140.0,8188.0,46.48,228.0,1
14.268326,1,99.602058,7.834101,16.42,1646.9375,12527.621094,1,31.0,31.0,1140.0,1140.0,8188.0,46.41,228.0,1
16.306499,1,99.108358,8.41265,18.44,1646.9375,12527.621094,1,29.0,29.0,1140.0,1140.0,8188.0,46.43,228.0,1
18.345985,1,100.025194,7.732433,20.48,1646.9375,12527.621094,1,29.0,29.0,1140.0,1140.0,8188.0,46.44,228.0,1
20.386325,1,99.003121,7.595326,22.5,1646.9375,12527.621094,1,29.0,29.0,1140.0,1140.0,8188.0,46.31,228.0,1
22.424136,1,99.616695,7.808177,24.53,1646.9375,12527.621094,1,30.0,30.0,1140.0,1140.0,8188.0,46.29,228.0,1
24.462286,1,99.109471,7.798588,26.55,1646.9375,12527.621094,1,30.0,30.0,1140.0,1140.0,8188.0,46.39,228.0,1
26.501119,1,99.076302,8.061538,28.57,1646.9375,12527.621094,1,29.0,29.0,1140.0,1140.0,8188.0,46.32,228.0,1
28.538522,1,99.636652,9.283738,30.6,1647.074219,12559.621094,1,30.0,30.0,1164.0,1164.0,8188.0,46.6,252.0,1
30.579654,1,99.454594,9.110496,32.63,1647.074219,12559.621094,1,29.0,29.0,1164.0,1164.0,8188.0,46.2,252.0,1
32.617593,1,99.119744,7.798588,34.65,1647.074219,12559.621094,1,27.0,27.0,1164.0,1164.0,8188.0,46.12,252.0,1
34.655794,1,99.597631,8.202765,36.68,1647.074219,12559.621094,1,29.0,29.0,1164.0,1164.0,8188.0,46.38,252.0,1
36.694894,1,99.553716,7.890697,38.71,1647.074219,12559.621094,1,30.0,30.0,1164.0,1164.0,8188.0,46.52,252.0,1
38.733464,1,99.579599,8.384521,40.74,1647.074219,12559.621094,1,29.0,29.0,1164.0,1164.0,8188.0,46.36,252.0,1
40.771914,1,99.0949,7.796194,42.76,1647.074219,12559.621094,1,30.0,30.0,1164.0,1164.0,8188.0,46.41,252.0,1
42.810909,1,99.558873,8.100644,44.79,1647.074219,12559.621094,1,28.0,28.0,1164.0,1164.0,8188.0,46.03,252.0,1
44.849102,1,99.598039,8.782743,46.82,1647.074219,12559.621094,1,29.0,29.0,1164.0,1164.0,8188.0,46.31,252.0,1
46.886459,1,99.14807,8.850645,48.84,1647.074219,12559.621094,1,30.0,30.0,1164.0,1164.0,8188.0,46.38,252.0,1
48.924506,1,99.605158,8.087331,50.87,1647.074219,12559.621094,1,31.0,31.0,1164.0,1164.0,8188.0,46.51,252.0,1
50.962119,1,99.13561,8.023363,52.89,1647.074219,12559.621094,1,30.0,30.0,1164.0,1164.0,8188.0,46.53,252.0,1
52.999956,1,100.106129,7.9214,54.93,1647.074219,12559.621094,1,31.0,31.0,1164.0,1164.0,8188.0,46.53,252.0,1
55.039042,1,99.063999,8.056581,56.95,1647.074219,12559.621094,1,31.0,31.0,1164.0,1164.0,8188.0,46.61,252.0,1
57.077338,1,99.102388,7.77027,58.97,1647.074219,12559.621094,1,28.0,28.0,1164.0,1164.0,8188.0,46.38,252.0,1
59.115142,1,99.617021,8.422994,61.0,1647.074219,12559.621094,1,30.0,30.0,1164.0,1164.0,8188.0,46.58,252.0,1
61.153393,1,99.595196,9.762858,63.03,1647.074219,12559.621094,1,29.0,29.0,1164.0,1164.0,8188.0,46.59,252.0,1
63.191063,1,99.623606,10.040037,65.06,1647.074219,12559.621094,1,29.0,29.0,1164.0,1164.0,8188.0,46.68,252.0,1
65.228766,1,99.131214,8.545958,67.08,1647.074219,12559.621094,1,28.0,28.0,1164.0,1164.0,8188.0,46.52,252.0,1
67.267527,1,99.570283,9.787627,69.11,1647.074219,12559.621094,1,30.0,30.0,1164.0,1164.0,8188.0,46.64,252.0,1
69.306241,1,99.572565,9.498924,71.14,1647.074219,12559.621094,1,31.0,31.0,1164.0,1164.0,8188.0,46.67,252.0,1
71.345182,1,99.561469,7.96433,73.17,1647.074219,12559.621094,1,30.0,30.0,1164.0,1164.0,8188.0,46.68,252.0,1
73.383092,1,99.121182,8.241082,75.19,1647.074219,12559.621094,1,30.0,30.0,1164.0,1164.0,8188.0,46.7,252.0,1
75.420812,1,99.621147,7.775046,77.22,1647.074219,12559.621094,1,29.0,29.0,1164.0,1164.0,8188.0,46.68,252.0,1
77.458783,1,99.118191,8.228431,79.24,1647.074219,12559.621094,1,30.0,30.0,1164.0,1164.0,8188.0,46.52,252.0,1
