elapsed_seconds,pid_count,process_tree_cpu_pct,system_cpu_pct,process_tree_cpu_seconds,process_tree_rss_mb,process_tree_vms_mb,gpu_count,gpu_util_max_pct,gpu_util_avg_pct,gpu_mem_used_max_mb,gpu_mem_used_total_mb,gpu_mem_total_mb,gpu_power_draw_total_w,process_tree_gpu_mem_mb,process_tree_gpu_process_count
0.001072,1,,,0.01,11.796875,14.882812,1,19.0,19.0,901.0,901.0,8188.0,42.66,0.0,0
2.045666,1,172.161335,38.719606,3.53,672.945312,10374.199219,1,28.0,28.0,903.0,903.0,8188.0,34.07,0.0,0
4.091542,1,102.156751,23.45337,5.62,1590.773438,12468.09375,1,53.0,53.0,1134.0,1134.0,8188.0,40.28,228.0,1
6.135164,1,100.312057,19.227231,7.67,1591.023438,12468.351562,1,40.0,40.0,1134.0,1134.0,8188.0,50.14,228.0,1
8.181234,1,98.237103,21.178637,9.68,1591.023438,12500.351562,1,38.0,38.0,1158.0,1158.0,8188.0,49.45,252.0,1
10.225819,1,99.775785,21.283784,11.72,1591.148438,12500.351562,1,42.0,42.0,1158.0,1158.0,8188.0,49.61,252.0,1
12.268323,1,99.387795,19.569892,13.75,1591.273438,12500.351562,1,45.0,45.0,1158.0,1158.0,8188.0,50.44,252.0,1
14.314,1,99.233643,18.588957,15.78,1591.273438,12500.351562,1,44.0,44.0,1158.0,1158.0,8188.0,50.17,252.0,1
16.358809,1,99.275806,19.458961,17.81,1591.273438,12500.351562,1,46.0,46.0,1158.0,1158.0,8188.0,50.25,252.0,1
18.402404,1,99.334736,21.470317,19.84,1591.273438,12500.351562,1,38.0,38.0,1158.0,1158.0,8188.0,49.35,252.0,1
20.445719,1,99.348378,22.738462,21.87,1591.273438,12500.351562,1,38.0,38.0,1158.0,1158.0,8188.0,49.71,252.0,1
22.490106,1,99.296263,19.435063,23.9,1591.273438,12500.351562,1,47.0,47.0,1158.0,1158.0,8188.0,50.6,252.0,1
24.535491,1,99.247801,18.753837,25.93,1591.273438,12500.351562,1,46.0,46.0,1158.0,1158.0,8188.0,50.48,252.0,1
26.579779,1,99.301092,20.785999,27.96,1591.273438,12500.351562,1,44.0,44.0,1158.0,1158.0,8188.0,50.72,252.0,1
28.624952,1,99.747032,21.457117,30.0,1591.273438,12500.351562,1,42.0,42.0,1158.0,1158.0,8188.0,50.21,252.0,1
30.668233,1,99.350047,21.389229,32.03,1591.273438,12500.351562,1,42.0,42.0,1158.0,1158.0,8188.0,50.02,252.0,1
32.72102,1,99.377053,21.229734,34.07,1591.273438,12500.480469,1,55.0,55.0,1158.0,1158.0,8188.0,50.59,252.0,1
34.773252,1,98.916713,26.996314,36.1,1591.273438,12500.480469,1,38.0,38.0,1158.0,1158.0,8188.0,50.87,252.0,1
36.818841,1,99.237923,23.372236,38.13,1591.273438,12500.480469,1,44.0,44.0,1158.0,1158.0,8188.0,50.58,252.0,1
38.862474,1,99.822206,18.251534,40.17,1591.273438,12500.480469,1,41.0,41.0,1158.0,1158.0,8188.0,50.18,252.0,1
40.905071,1,99.383306,19.502457,42.2,1591.273438,12500.480469,1,38.0,38.0,1158.0,1158.0,8188.0,47.24,252.0,1
42.947341,1,98.909538,13.333333,44.22,1591.273438,12532.480469,1,40.0,40.0,1190.0,1190.0,8188.0,48.04,284.0,1
44.988917,1,99.922798,14.053889,46.26,1591.273438,12532.480469,1,38.0,38.0,1190.0,1190.0,8188.0,48.8,284.0,1
47.03615,1,99.158259,22.949309,48.29,1591.273438,12532.480469,1,31.0,31.0,1190.0,1190.0,8188.0,43.97,284.0,1
49.078434,1,99.888152,21.915285,50.33,1591.273438,12532.480469,1,40.0,40.0,1191.0,1191.0,8188.0,52.85,284.0,1
51.123574,1,99.259707,21.921182,52.36,1591.273438,12532.480469,1,44.0,44.0,1207.0,1207.0,8188.0,52.96,284.0,1
53.165164,1,98.942504,19.195332,54.38,1591.273438,12532.480469,1,42.0,42.0,1206.0,1206.0,8188.0,53.32,284.0,1
55.206362,1,99.451411,14.066339,56.41,1591.273438,12532.480469,1,41.0,41.0,1206.0,1206.0,8188.0,53.24,284.0,1
57.248668,1,99.887068,15.668203,58.45,1591.273438,12532.480469,1,40.0,40.0,1211.0,1211.0,8188.0,52.94,284.0,1
59.290943,1,99.398957,20.852499,60.48,1591.273438,12532.480469,1,37.0,37.0,1211.0,1211.0,8188.0,51.28,284.0,1
61.334699,1,98.837607,21.92579,62.5,1591.273438,12532.480469,1,40.0,40.0,1207.0,1207.0,8188.0,51.26,284.0,1
63.378455,1,99.81622,15.547378,64.54,1591.273438,12532.480469,1,48.0,48.0,1207.0,1207.0,8188.0,50.57,284.0,1
