run_order,model,system,trace_class,weights_path,output_log,total_nodes_evaluated,service_accuracy_pct,op_accuracy_pct,duration_mae,edge_precision_pct,edge_recall_pct,edge_f1_pct,resource_summary_csv,resource_timeseries_csv,return_code,wall_seconds,process_tree_cpu_seconds,process_tree_avg_cpu_pct,process_tree_peak_rss_mb,process_tree_peak_vms_mb,gpu_peak_mem_used_total_mb,process_tree_gpu_peak_mem_mb,gpu_peak_util_pct,samples,command
5,flat_vae,TT,normal,./weights/tt_normal_flat_vae_weights.pt,/home/snehpatel/research/generate_graphs/classifier/vae_training_resource_by_run/run_005_TT_normal_flat_vae_training.log,5104,49.14,44.63,0.5873,93.38,4.43,8.45,/home/snehpatel/research/generate_graphs/classifier/vae_training_resource_by_run/run_005_TT_normal_flat_vae_resource_summary.csv,/home/snehpatel/research/generate_graphs/classifier/vae_training_resource_by_run/run_005_TT_normal_flat_vae_resource_timeseries.csv,0,1286.092739,1277.04,99.296105,1610.175781,12492.300781,762.0,186.0,53.0,633,/home/snehpatel/research/venv/bin/python3 ./train_flat_vae.py --data-path ./datasets/anomaly/TT/TT_normal.pt --out-weights ./weights/tt_normal_flat_vae_weights.pt
6,flat_vae,TT,abnormal,./weights/tt_abnormal_flat_vae_weights.pt,/home/snehpatel/research/generate_graphs/classifier/vae_training_resource_by_run/run_006_TT_abnormal_flat_vae_training.log,5993,35.94,43.45,0.8130,0.00,0.00,0.00,/home/snehpatel/research/generate_graphs/classifier/vae_training_resource_by_run/run_006_TT_abnormal_flat_vae_resource_summary.csv,/home/snehpatel/research/generate_graphs/classifier/vae_training_resource_by_run/run_006_TT_abnormal_flat_vae_resource_timeseries.csv,0,1209.915656,1202.44,99.382134,1601.136719,12468.292969,753.0,186.0,25.0,596,/home/snehpatel/research/venv/bin/python3 ./train_flat_vae.py --data-path ./datasets/anomaly/TT/TT_abnormal.pt --out-weights ./weights/tt_abnormal_flat_vae_weights.pt
7,flat_vae,SN,normal,./weights/sn_normal_flat_vae_weights.pt,/home/snehpatel/research/generate_graphs/classifier/vae_training_resource_by_run/run_007_SN_normal_flat_vae_training.log,11461,79.83,62.94,1.0331,94.40,18.34,30.71,/home/snehpatel/research/generate_graphs/classifier/vae_training_resource_by_run/run_007_SN_normal_flat_vae_resource_summary.csv,/home/snehpatel/research/generate_graphs/classifier/vae_training_resource_by_run/run_007_SN_normal_flat_vae_resource_timeseries.csv,0,1515.125154,1507.13,99.472311,1699.742188,12581.703125,765.0,186.0,56.0,745,/home/snehpatel/research/venv/bin/python3 ./train_flat_vae.py --data-path ./datasets/anomaly/SN/SN_normal.pt --out-weights ./weights/sn_normal_flat_vae_weights.pt
8,flat_vae,SN,abnormal,./weights/sn_abnormal_flat_vae_weights.pt,/home/snehpatel/research/generate_graphs/classifier/vae_training_resource_by_run/run_008_SN_abnormal_flat_vae_training.log,9416,33.36,16.61,2.2561,0.00,0.00,0.00,/home/snehpatel/research/generate_graphs/classifier/vae_training_resource_by_run/run_008_SN_abnormal_flat_vae_resource_summary.csv,/home/snehpatel/research/generate_graphs/classifier/vae_training_resource_by_run/run_008_SN_abnormal_flat_vae_resource_timeseries.csv,0,1636.071979,1626.42,99.410052,1616.796875,12499.757812,764.0,188.0,56.0,804,/home/snehpatel/research/venv/bin/python3 ./train_flat_vae.py --data-path ./datasets/anomaly/SN/SN_abnormal.pt --out-weights ./weights/sn_abnormal_flat_vae_weights.pt
1,hierarchical_vae,TT,normal,./weights/tt_normal_vae_weights.pt,classifier/vae_training_resource_by_run/run_001_TT_normal_hierarchical_vae_training.log,5104,98.28,97.08,0.1796,94.89,94.92,94.90,classifier/vae_training_resource_by_run/run_001_TT_normal_hierarchical_vae_resource_summary.csv,classifier/vae_training_resource_by_run/run_001_TT_normal_hierarchical_vae_resource_timeseries.csv,0,549.641379,545.43,99.233795,1640.453125,12577.0,795.0,230.0,98.0,271,
2,hierarchical_vae,TT,abnormal,./weights/tt_abnormal_vae_weights.pt,classifier/vae_training_resource_by_run/run_002_TT_abnormal_hierarchical_vae_training.log,5993,99.97,99.52,0.3123,93.11,92.55,92.83,classifier/vae_training_resource_by_run/run_002_TT_abnormal_hierarchical_vae_resource_summary.csv,classifier/vae_training_resource_by_run/run_002_TT_abnormal_hierarchical_vae_resource_timeseries.csv,0,366.553424,364.79,99.518918,1615.789062,12537.578125,838.0,232.0,39.0,181,
3,hierarchical_vae,SN,normal,./weights/sn_normal_vae_weights.pt,classifier/vae_training_resource_by_run/run_003_SN_normal_hierarchical_vae_training.log,11461,99.96,99.98,0.2016,92.38,99.72,95.91,classifier/vae_training_resource_by_run/run_003_SN_normal_hierarchical_vae_resource_summary.csv,classifier/vae_training_resource_by_run/run_003_SN_normal_hierarchical_vae_resource_timeseries.csv,0,875.686044,870.74,99.435181,1702.1875,12596.320312,778.0,210.0,53.0,431,
4,hierarchical_vae,SN,abnormal,./weights/sn_abnormal_vae_weights.pt,classifier/vae_training_resource_by_run/run_004_SN_abnormal_hierarchical_vae_training.log,9416,99.85,99.89,0.2546,94.04,100.00,96.93,classifier/vae_training_resource_by_run/run_004_SN_abnormal_hierarchical_vae_resource_summary.csv,classifier/vae_training_resource_by_run/run_004_SN_abnormal_hierarchical_vae_resource_timeseries.csv,0,910.489543,906.72,99.585987,1652.476562,12542.636719,788.0,210.0,55.0,448,
9,flat_vae,TT,normal,./weights/tt_normal_flat_vae_weights.pt,/home/snehpatel/research/generate_graphs/classifier/vae_training_resource_by_run/run_009_TT_normal_flat_vae_training.log,5104,48.12,50.31,0.6506,93.51,2.26,4.41,/home/snehpatel/research/generate_graphs/classifier/vae_training_resource_by_run/run_009_TT_normal_flat_vae_resource_summary.csv,/home/snehpatel/research/generate_graphs/classifier/vae_training_resource_by_run/run_009_TT_normal_flat_vae_resource_timeseries.csv,0,344.636273,343.04,99.536824,1612.175781,12512.128906,1164.0,252.0,44.0,170,/home/snehpatel/research/venv/bin/python3 ./train_flat_vae.py --data-path ./datasets/anomaly/TT/TT_normal.pt --out-weights ./weights/tt_normal_flat_vae_weights.pt
10,flat_vae,TT,abnormal,./weights/tt_abnormal_flat_vae_weights.pt,/home/snehpatel/research/generate_graphs/classifier/vae_training_resource_by_run/run_010_TT_abnormal_flat_vae_training.log,5993,37.13,44.97,0.8190,0.00,0.00,0.00,/home/snehpatel/research/generate_graphs/classifier/vae_training_resource_by_run/run_010_TT_abnormal_flat_vae_resource_summary.csv,/home/snehpatel/research/generate_graphs/classifier/vae_training_resource_by_run/run_010_TT_abnormal_flat_vae_resource_timeseries.csv,0,338.491152,337.65,99.7515,1602.222656,12472.125,1140.0,228.0,29.0,167,/home/snehpatel/research/venv/bin/python3 ./train_flat_vae.py --data-path ./datasets/anomaly/TT/TT_abnormal.pt --out-weights ./weights/tt_abnormal_flat_vae_weights.pt
