---------------- SN Dataset --------------------------------------------------
Epoch 001 | loss 6.4058 | node 4.3595 | edge 0.6800 | kl 4.9625 | beta 0.0013
Epoch 002 | loss 2.4153 | node 1.2324 | edge 0.3858 | kl 10.2163 | beta 0.0025
Epoch 003 | loss 1.4763 | node 0.5986 | edge 0.2812 | kl 9.1128 | beta 0.0037
Epoch 004 | loss 1.0942 | node 0.4306 | edge 0.2068 | kl 8.6201 | beta 0.0050
Epoch 005 | loss 0.8910 | node 0.3502 | edge 0.1633 | kl 8.1711 | beta 0.0063
Epoch 006 | loss 0.7782 | node 0.3206 | edge 0.1340 | kl 7.4250 | beta 0.0075
Epoch 007 | loss 0.6848 | node 0.2979 | edge 0.1094 | kl 6.6914 | beta 0.0087
Epoch 008 | loss 0.6397 | node 0.2729 | edge 0.1028 | kl 5.8360 | beta 0.0100
Epoch 009 | loss 0.5932 | node 0.2579 | edge 0.0927 | kl 5.0959 | beta 0.0113
Epoch 010 | loss 0.5711 | node 0.2598 | edge 0.0849 | kl 4.5399 | beta 0.0125
Epoch 011 | loss 0.5565 | node 0.2479 | edge 0.0844 | kl 4.0248 | beta 0.0138
Epoch 012 | loss 0.5132 | node 0.2291 | edge 0.0768 | kl 3.5706 | beta 0.0150
Epoch 013 | loss 0.4821 | node 0.2200 | edge 0.0707 | kl 3.0769 | beta 0.0163
Epoch 014 | loss 0.4684 | node 0.2229 | edge 0.0661 | kl 2.7037 | beta 0.0175
Epoch 015 | loss 0.4797 | node 0.2195 | edge 0.0720 | kl 2.3594 | beta 0.0188
Epoch 016 | loss 0.4448 | node 0.2146 | edge 0.0631 | kl 2.0427 | beta 0.0200
Epoch 017 | loss 0.4779 | node 0.2049 | edge 0.0785 | kl 1.7581 | beta 0.0213
Epoch 018 | loss 0.4225 | node 0.2081 | edge 0.0600 | kl 1.5249 | beta 0.0225
Epoch 019 | loss 0.3896 | node 0.1978 | edge 0.0536 | kl 1.2968 | beta 0.0238
Epoch 020 | loss 0.4160 | node 0.2189 | edge 0.0564 | kl 1.1095 | beta 0.0250
Epoch 021 | loss 0.3872 | node 0.1992 | edge 0.0540 | kl 0.9870 | beta 0.0263
