=== TRAINING SN DATA ===
Epoch 001 | loss 5.3606 | node 4.6306 | edge 0.7278 | kl 6.7707 | beta 0.0003
Epoch 002 | loss 1.5911 | node 1.1342 | edge 0.4432 | kl 20.5382 | beta 0.0007
Epoch 003 | loss 0.9285 | node 0.5726 | edge 0.3424 | kl 13.4831 | beta 0.0010
Epoch 004 | loss 0.6875 | node 0.4037 | edge 0.2697 | kl 10.5434 | beta 0.0013
Epoch 005 | loss 0.5582 | node 0.3173 | edge 0.2253 | kl 9.3621 | beta 0.0017
Epoch 006 | loss 0.4857 | node 0.2843 | edge 0.1839 | kl 8.8044 | beta 0.0020
Epoch 007 | loss 0.4247 | node 0.2585 | edge 0.1469 | kl 8.2387 | beta 0.0023
Epoch 008 | loss 0.4129 | node 0.2523 | edge 0.1407 | kl 7.4794 | beta 0.0027
Epoch 009 | loss 0.3908 | node 0.2465 | edge 0.1238 | kl 6.8552 | beta 0.0030
Epoch 010 | loss 0.3782 | node 0.2377 | edge 0.1200 | kl 6.1558 | beta 0.0033
Epoch 011 | loss 0.3485 | node 0.2165 | edge 0.1113 | kl 5.6533 | beta 0.0037
Epoch 012 | loss 0.3376 | node 0.2132 | edge 0.1041 | kl 5.0700 | beta 0.0040
Epoch 013 | loss 0.3141 | node 0.2031 | edge 0.0912 | kl 4.5673 | beta 0.0043
Epoch 014 | loss 0.3061 | node 0.2021 | edge 0.0849 | kl 4.0977 | beta 0.0047
Epoch 015 | loss 0.3139 | node 0.2018 | edge 0.0932 | kl 3.7690 | beta 0.0050
Epoch 016 | loss 0.3035 | node 0.2017 | edge 0.0833 | kl 3.4694 | beta 0.0053
Epoch 017 | loss 0.2858 | node 0.1918 | edge 0.0763 | kl 3.1153 | beta 0.0057
Epoch 018 | loss 0.2783 | node 0.1845 | edge 0.0773 | kl 2.7552 | beta 0.0060
Epoch 019 | loss 0.2773 | node 0.1850 | edge 0.0767 | kl 2.4692 | beta 0.0063
Epoch 020 | loss 0.2692 | node 0.1853 | edge 0.0696 | kl 2.1492 | beta 0.0067
Epoch 021 | loss 0.2572 | node 0.1767 | edge 0.0672 | kl 1.9076 | beta 0.0070
Epoch 022 | loss 0.2561 | node 0.1783 | edge 0.0655 | kl 1.6727 | beta 0.0073
Epoch 023 | loss 0.2687 | node 0.1892 | edge 0.0679 | kl 1.5071 | beta 0.0077
Epoch 024 | loss 0.2602 | node 0.1786 | edge 0.0709 | kl 1.3371 | beta 0.0080
Epoch 025 | loss 0.2411 | node 0.1727 | edge 0.0587 | kl 1.1506 | beta 0.0083
Epoch 026 | loss 0.2467 | node 0.1723 | edge 0.0655 | kl 1.0352 | beta 0.0087
Epoch 027 | loss 0.2384 | node 0.1691 | edge 0.0611 | kl 0.9100 | beta 0.0090
Epoch 028 | loss 0.2296 | node 0.1641 | edge 0.0581 | kl 0.7936 | beta 0.0093
Epoch 029 | loss 0.2335 | node 0.1697 | edge 0.0571 | kl 0.6957 | beta 0.0097
Epoch 030 | loss 0.2309 | node 0.1660 | edge 0.0587 | kl 0.6188 | beta 0.0100
Epoch 031 | loss 0.2277 | node 0.1659 | edge 0.0561 | kl 0.5575 | beta 0.0103
Epoch 032 | loss 0.2209 | node 0.1632 | edge 0.0527 | kl 0.4737 | beta 0.0107
Epoch 033 | loss 0.2181 | node 0.1602 | edge 0.0533 | kl 0.4228 | beta 0.0110
Epoch 034 | loss 0.2238 | node 0.1667 | edge 0.0528 | kl 0.3772 | beta 0.0113
Epoch 035 | loss 0.2109 | node 0.1571 | edge 0.0499 | kl 0.3394 | beta 0.0117
Epoch 036 | loss 0.2190 | node 0.1587 | edge 0.0566 | kl 0.3058 | beta 0.0120
Epoch 037 | loss 0.2116 | node 0.1544 | edge 0.0540 | kl 0.2679 | beta 0.0123
Epoch 038 | loss 0.2099 | node 0.1580 | edge 0.0488 | kl 0.2482 | beta 0.0127
Epoch 039 | loss 0.2126 | node 0.1646 | edge 0.0451 | kl 0.2252 | beta 0.0130
Epoch 040 | loss 0.2123 | node 0.1548 | edge 0.0547 | kl 0.2087 | beta 0.0133
Epoch 041 | loss 0.2032 | node 0.1555 | edge 0.0452 | kl 0.1834 | beta 0.0137
Epoch 042 | loss 0.1995 | node 0.1491 | edge 0.0481 | kl 0.1622 | beta 0.0140
Epoch 043 | loss 0.2086 | node 0.1561 | edge 0.0501 | kl 0.1641 | beta 0.0143
Epoch 044 | loss 0.1947 | node 0.1495 | edge 0.0432 | kl 0.1416 | beta 0.0147
Epoch 045 | loss 0.1972 | node 0.1507 | edge 0.0447 | kl 0.1228 | beta 0.0150
Epoch 046 | loss 0.1924 | node 0.1480 | edge 0.0427 | kl 0.1127 | beta 0.0153
Epoch 047 | loss 0.1922 | node 0.1509 | edge 0.0397 | kl 0.1022 | beta 0.0157
Epoch 048 | loss 0.1875 | node 0.1438 | edge 0.0422 | kl 0.0975 | beta 0.0160
Epoch 049 | loss 0.1933 | node 0.1533 | edge 0.0384 | kl 0.0961 | beta 0.0163
Epoch 050 | loss 0.1846 | node 0.1469 | edge 0.0363 | kl 0.0808 | beta 0.0167
Epoch 051 | loss 0.1884 | node 0.1455 | edge 0.0416 | kl 0.0799 | beta 0.0170
Epoch 052 | loss 0.1841 | node 0.1446 | edge 0.0381 | kl 0.0755 | beta 0.0173
Epoch 053 | loss 0.1864 | node 0.1470 | edge 0.0382 | kl 0.0734 | beta 0.0177
Epoch 054 | loss 0.1858 | node 0.1488 | edge 0.0357 | kl 0.0736 | beta 0.0180
Epoch 055 | loss 0.1849 | node 0.1452 | edge 0.0385 | kl 0.0666 | beta 0.0183
