---------------- TT Dataset --------------------------------------------------
Epoch 001 | loss 4.9893 | node 4.2637 | edge 0.7236 | kl 6.0310 | beta 0.0003
Epoch 002 | loss 1.7205 | node 1.2539 | edge 0.4592 | kl 10.9980 | beta 0.0007
Epoch 003 | loss 1.0531 | node 0.7407 | edge 0.3003 | kl 12.0917 | beta 0.0010
Epoch 004 | loss 0.8868 | node 0.6567 | edge 0.2160 | kl 10.6058 | beta 0.0013
Epoch 005 | loss 0.7598 | node 0.5677 | edge 0.1770 | kl 9.0463 | beta 0.0017
Epoch 006 | loss 0.7602 | node 0.5843 | edge 0.1595 | kl 8.2182 | beta 0.0020
Epoch 007 | loss 0.6284 | node 0.4701 | edge 0.1405 | kl 7.6398 | beta 0.0023
Epoch 008 | loss 0.6044 | node 0.4522 | edge 0.1328 | kl 7.2850 | beta 0.0027
Epoch 009 | loss 0.5673 | node 0.4187 | edge 0.1279 | kl 6.9162 | beta 0.0030
Epoch 010 | loss 0.5702 | node 0.4218 | edge 0.1264 | kl 6.6204 | beta 0.0033
Epoch 011 | loss 0.5343 | node 0.3881 | edge 0.1229 | kl 6.3368 | beta 0.0037
Epoch 012 | loss 0.5287 | node 0.3915 | edge 0.1137 | kl 5.8930 | beta 0.0040
Epoch 013 | loss 0.5317 | node 0.3979 | edge 0.1096 | kl 5.5818 | beta 0.0043
Epoch 014 | loss 0.5095 | node 0.3566 | edge 0.1281 | kl 5.3386 | beta 0.0047
Epoch 015 | loss 0.5098 | node 0.3777 | edge 0.1066 | kl 5.1110 | beta 0.0050
Epoch 016 | loss 0.4760 | node 0.3481 | edge 0.1029 | kl 4.6945 | beta 0.0053
Epoch 017 | loss 0.4717 | node 0.3490 | edge 0.0976 | kl 4.4335 | beta 0.0057
Epoch 018 | loss 0.5099 | node 0.3844 | edge 0.1003 | kl 4.2114 | beta 0.0060
Epoch 019 | loss 0.4153 | node 0.2947 | edge 0.0960 | kl 3.8847 | beta 0.0063
Epoch 020 | loss 0.4559 | node 0.3439 | edge 0.0885 | kl 3.5231 | beta 0.0067
Epoch 021 | loss 0.4749 | node 0.3564 | edge 0.0945 | kl 3.4259 | beta 0.0070
Epoch 022 | loss 0.4582 | node 0.3467 | edge 0.0876 | kl 3.2665 | beta 0.0073
Epoch 023 | loss 0.3852 | node 0.2682 | edge 0.0944 | kl 2.9549 | beta 0.0077
Epoch 024 | loss 0.4465 | node 0.3375 | edge 0.0869 | kl 2.7568 | beta 0.0080
Epoch 025 | loss 0.3926 | node 0.2891 | edge 0.0815 | kl 2.6338 | beta 0.0083
Epoch 026 | loss 0.4284 | node 0.3299 | edge 0.0773 | kl 2.4478 | beta 0.0087
Epoch 027 | loss 0.4104 | node 0.3129 | edge 0.0769 | kl 2.2900 | beta 0.0090
Epoch 028 | loss 0.3895 | node 0.3015 | edge 0.0686 | kl 2.0710 | beta 0.0093
Epoch 029 | loss 0.3792 | node 0.2886 | edge 0.0720 | kl 1.9198 | beta 0.0097
Epoch 030 | loss 0.3727 | node 0.2886 | edge 0.0663 | kl 1.7786 | beta 0.0100
Epoch 031 | loss 0.4346 | node 0.3497 | edge 0.0675 | kl 1.6846 | beta 0.0103
Epoch 032 | loss 0.4284 | node 0.3452 | edge 0.0667 | kl 1.5492 | beta 0.0107
Epoch 033 | loss 0.3872 | node 0.3055 | edge 0.0654 | kl 1.4863 | beta 0.0110
Epoch 034 | loss 0.3604 | node 0.2796 | edge 0.0650 | kl 1.3883 | beta 0.0113
Epoch 035 | loss 0.3821 | node 0.3058 | edge 0.0613 | kl 1.2864 | beta 0.0117
Epoch 036 | loss 0.4239 | node 0.3469 | edge 0.0621 | kl 1.2466 | beta 0.0120
Epoch 037 | loss 0.3814 | node 0.3022 | edge 0.0647 | kl 1.1712 | beta 0.0123
Epoch 038 | loss 0.3821 | node 0.3100 | edge 0.0586 | kl 1.0687 | beta 0.0127
Epoch 039 | loss 0.3408 | node 0.2699 | edge 0.0583 | kl 0.9733 | beta 0.0130
Epoch 040 | loss 0.3684 | node 0.3061 | edge 0.0504 | kl 0.8953 | beta 0.0133
Epoch 041 | loss 0.3525 | node 0.2896 | edge 0.0514 | kl 0.8473 | beta 0.0137
Epoch 042 | loss 0.3611 | node 0.2976 | edge 0.0516 | kl 0.8535 | beta 0.0140
Epoch 043 | loss 0.3348 | node 0.2661 | edge 0.0578 | kl 0.7627 | beta 0.0143
Epoch 044 | loss 0.3614 | node 0.3002 | edge 0.0505 | kl 0.7272 | beta 0.0147
Epoch 045 | loss 0.3539 | node 0.2925 | edge 0.0505 | kl 0.7288 | beta 0.0150
Epoch 046 | loss 0.3155 | node 0.2554 | edge 0.0499 | kl 0.6635 | beta 0.0153
Epoch 047 | loss 0.3219 | node 0.2548 | edge 0.0575 | kl 0.6140 | beta 0.0157
Epoch 048 | loss 0.3956 | node 0.3304 | edge 0.0555 | kl 0.6028 | beta 0.0160
Epoch 049 | loss 0.3911 | node 0.3311 | edge 0.0499 | kl 0.6232 | beta 0.0163
Epoch 050 | loss 0.3337 | node 0.2771 | edge 0.0473 | kl 0.5574 | beta 0.0167
Epoch 051 | loss 0.3050 | node 0.2455 | edge 0.0512 | kl 0.4893 | beta 0.0170
Epoch 052 | loss 0.3539 | node 0.2968 | edge 0.0491 | kl 0.4640 | beta 0.0173
Epoch 053 | loss 0.3117 | node 0.2547 | edge 0.0492 | kl 0.4451 | beta 0.0177
Epoch 054 | loss 0.3100 | node 0.2573 | edge 0.0457 | kl 0.3898 | beta 0.0180
Epoch 055 | loss 0.3524 | node 0.2997 | edge 0.0454 | kl 0.3963 | beta 0.0183
Epoch 056 | loss 0.3025 | node 0.2516 | edge 0.0439 | kl 0.3727 | beta 0.0187
Epoch 057 | loss 0.3730 | node 0.3183 | edge 0.0476 | kl 0.3740 | beta 0.0190
Epoch 058 | loss 0.3192 | node 0.2692 | edge 0.0427 | kl 0.3803 | beta 0.0193
Epoch 059 | loss 0.3187 | node 0.2681 | edge 0.0443 | kl 0.3170 | beta 0.0197
Epoch 060 | loss 0.2892 | node 0.2426 | edge 0.0407 | kl 0.2970 | beta 0.0200
Epoch 061 | loss 0.2939 | node 0.2467 | edge 0.0417 | kl 0.2722 | beta 0.0200
Epoch 062 | loss 0.2897 | node 0.2446 | edge 0.0403 | kl 0.2388 | beta 0.0200
Epoch 063 | loss 0.3544 | node 0.3072 | edge 0.0408 | kl 0.3210 | beta 0.0200
Epoch 064 | loss 0.3545 | node 0.3074 | edge 0.0412 | kl 0.2946 | beta 0.0200
