=== TRAINING TT DATA ===
Epoch 001 | loss 5.0761 | node 4.2705 | edge 0.8041 | kl 4.6645 | beta 0.0003
Epoch 002 | loss 1.8159 | node 1.2480 | edge 0.5620 | kl 8.7082 | beta 0.0007
Epoch 003 | loss 1.1120 | node 0.7416 | edge 0.3606 | kl 9.7702 | beta 0.0010
Epoch 004 | loss 0.8964 | node 0.6342 | edge 0.2498 | kl 9.2688 | beta 0.0013
Epoch 005 | loss 0.7835 | node 0.5606 | edge 0.2089 | kl 8.4110 | beta 0.0017
Epoch 006 | loss 0.7499 | node 0.5478 | edge 0.1862 | kl 7.9120 | beta 0.0020
Epoch 007 | loss 0.7204 | node 0.5263 | edge 0.1766 | kl 7.5197 | beta 0.0023
Epoch 008 | loss 0.7670 | node 0.5835 | edge 0.1639 | kl 7.3390 | beta 0.0027
Epoch 009 | loss 0.6349 | node 0.4642 | edge 0.1495 | kl 7.0572 | beta 0.0030
Epoch 010 | loss 0.7135 | node 0.5344 | edge 0.1567 | kl 6.7106 | beta 0.0033
Epoch 011 | loss 0.6629 | node 0.4972 | edge 0.1428 | kl 6.2686 | beta 0.0037
Epoch 012 | loss 0.6361 | node 0.4794 | edge 0.1336 | kl 5.7752 | beta 0.0040
Epoch 013 | loss 0.6107 | node 0.4577 | edge 0.1298 | kl 5.3461 | beta 0.0043
Epoch 014 | loss 0.5439 | node 0.3942 | edge 0.1262 | kl 5.0187 | beta 0.0047
Epoch 015 | loss 0.5677 | node 0.4249 | edge 0.1204 | kl 4.4885 | beta 0.0050
Epoch 016 | loss 0.5727 | node 0.4258 | edge 0.1246 | kl 4.1803 | beta 0.0053
Epoch 017 | loss 0.5499 | node 0.4089 | edge 0.1187 | kl 3.9314 | beta 0.0057
Epoch 018 | loss 0.5424 | node 0.4073 | edge 0.1136 | kl 3.5860 | beta 0.0060
Epoch 019 | loss 0.5331 | node 0.3949 | edge 0.1170 | kl 3.3485 | beta 0.0063
Epoch 020 | loss 0.5710 | node 0.4271 | edge 0.1235 | kl 3.0745 | beta 0.0067
Epoch 021 | loss 0.5809 | node 0.4498 | edge 0.1102 | kl 2.9852 | beta 0.0070
Epoch 022 | loss 0.5067 | node 0.3831 | edge 0.1028 | kl 2.8246 | beta 0.0073
Epoch 023 | loss 0.5192 | node 0.3932 | edge 0.1054 | kl 2.6919 | beta 0.0077
Epoch 024 | loss 0.4854 | node 0.3698 | edge 0.0956 | kl 2.4988 | beta 0.0080
Epoch 025 | loss 0.4429 | node 0.3282 | edge 0.0953 | kl 2.3333 | beta 0.0083
Epoch 026 | loss 0.5425 | node 0.4310 | edge 0.0921 | kl 2.2358 | beta 0.0087
Epoch 027 | loss 0.4085 | node 0.2947 | edge 0.0942 | kl 2.1721 | beta 0.0090
Epoch 028 | loss 0.4265 | node 0.3251 | edge 0.0829 | kl 1.9889 | beta 0.0093
Epoch 029 | loss 0.4202 | node 0.3104 | edge 0.0916 | kl 1.8851 | beta 0.0097
Epoch 030 | loss 0.4167 | node 0.3070 | edge 0.0925 | kl 1.7177 | beta 0.0100
Epoch 031 | loss 0.3947 | node 0.3004 | edge 0.0780 | kl 1.5759 | beta 0.0103
Epoch 032 | loss 0.3303 | node 0.2459 | edge 0.0693 | kl 1.4155 | beta 0.0107
Epoch 033 | loss 0.3563 | node 0.2733 | edge 0.0690 | kl 1.2693 | beta 0.0110
Epoch 034 | loss 0.3580 | node 0.2742 | edge 0.0703 | kl 1.1964 | beta 0.0113
Epoch 035 | loss 0.3679 | node 0.2827 | edge 0.0719 | kl 1.1394 | beta 0.0117
Epoch 036 | loss 0.3785 | node 0.2986 | edge 0.0672 | kl 1.0522 | beta 0.0120
Epoch 037 | loss 0.4035 | node 0.3126 | edge 0.0765 | kl 1.1682 | beta 0.0123
Epoch 038 | loss 0.4192 | node 0.3363 | edge 0.0697 | kl 1.0385 | beta 0.0127
Epoch 039 | loss 0.4022 | node 0.3238 | edge 0.0663 | kl 0.9370 | beta 0.0130
Epoch 040 | loss 0.3595 | node 0.2847 | edge 0.0625 | kl 0.9286 | beta 0.0133
