Epoch 001 | loss 7.2237 | node 6.0604 | edge 0.3856 | kl 5.1392 | beta 0.0013
Epoch 002 | loss 6.5002 | node 5.4477 | edge 0.3450 | kl 6.9662 | beta 0.0025
Epoch 003 | loss 6.1829 | node 5.1731 | edge 0.3289 | kl 6.1908 | beta 0.0037
Epoch 004 | loss 5.8829 | node 4.9102 | edge 0.3144 | kl 5.9279 | beta 0.0050
Epoch 005 | loss 5.6347 | node 4.6744 | edge 0.3079 | kl 5.8749 | beta 0.0063
Epoch 006 | loss 5.3964 | node 4.4512 | edge 0.3013 | kl 5.5226 | beta 0.0075
Epoch 007 | loss 5.2636 | node 4.3303 | edge 0.2963 | kl 5.0741 | beta 0.0087
Epoch 008 | loss 5.1335 | node 4.2209 | edge 0.2889 | kl 4.5812 | beta 0.0100
Epoch 009 | loss 4.9951 | node 4.0936 | edge 0.2849 | kl 4.1595 | beta 0.0113
Epoch 010 | loss 4.9634 | node 4.0781 | edge 0.2797 | kl 3.6768 | beta 0.0125
Epoch 011 | loss 4.8738 | node 4.0041 | edge 0.2748 | kl 3.2867 | beta 0.0138
Epoch 012 | loss 4.7981 | node 3.9427 | edge 0.2705 | kl 2.9278 | beta 0.0150
Epoch 013 | loss 4.7449 | node 3.9026 | edge 0.2669 | kl 2.5559 | beta 0.0163
Epoch 014 | loss 4.6960 | node 3.8634 | edge 0.2642 | kl 2.2807 | beta 0.0175
Epoch 015 | loss 4.6448 | node 3.8227 | edge 0.2613 | kl 2.0291 | beta 0.0188
Epoch 016 | loss 4.5833 | node 3.7746 | edge 0.2575 | kl 1.8123 | beta 0.0200
Epoch 017 | loss 4.5773 | node 3.7762 | edge 0.2556 | kl 1.6150 | beta 0.0213
Epoch 018 | loss 4.5296 | node 3.7335 | edge 0.2547 | kl 1.4170 | beta 0.0225
Epoch 019 | loss 4.4774 | node 3.6902 | edge 0.2522 | kl 1.2844 | beta 0.0238
Epoch 020 | loss 4.4690 | node 3.6972 | edge 0.2473 | kl 1.1898 | beta 0.0250
Epoch 021 | loss 4.3881 | node 3.6247 | edge 0.2449 | kl 1.0909 | beta 0.0263
Epoch 022 | loss 4.3309 | node 3.5736 | edge 0.2433 | kl 0.9902 | beta 0.0275
Epoch 023 | loss 4.2931 | node 3.5468 | edge 0.2400 | kl 0.9150 | beta 0.0287
Epoch 024 | loss 4.3325 | node 3.5838 | edge 0.2412 | kl 0.8420 | beta 0.0300
Epoch 025 | loss 4.2802 | node 3.5406 | edge 0.2384 | kl 0.7819 | beta 0.0312
Epoch 026 | loss 4.2238 | node 3.4880 | edge 0.2372 | kl 0.7397 | beta 0.0325
Epoch 027 | loss 4.2557 | node 3.5357 | edge 0.2322 | kl 0.6892 | beta 0.0338
Epoch 028 | loss 4.1826 | node 3.4649 | edge 0.2318 | kl 0.6357 | beta 0.0350
Epoch 029 | loss 4.1568 | node 3.4400 | edge 0.2319 | kl 0.5797 | beta 0.0362
Epoch 030 | loss 4.1070 | node 3.4032 | edge 0.2278 | kl 0.5472 | beta 0.0375
Epoch 031 | loss 4.1141 | node 3.4092 | edge 0.2284 | kl 0.5101 | beta 0.0388
Epoch 032 | loss 4.0910 | node 3.3886 | edge 0.2278 | kl 0.4770 | beta 0.0400
Epoch 033 | loss 4.1058 | node 3.4052 | edge 0.2275 | kl 0.4404 | beta 0.0413
Epoch 034 | loss 4.1175 | node 3.4161 | edge 0.2280 | kl 0.4124 | beta 0.0425
Epoch 035 | loss 4.0431 | node 3.3601 | edge 0.2220 | kl 0.3862 | beta 0.0438
Epoch 036 | loss 4.0376 | node 3.3508 | edge 0.2235 | kl 0.3604 | beta 0.0450
Epoch 037 | loss 4.0155 | node 3.3356 | edge 0.2214 | kl 0.3396 | beta 0.0463
Epoch 038 | loss 3.9999 | node 3.3176 | edge 0.2224 | kl 0.3203 | beta 0.0475
Epoch 039 | loss 3.9680 | node 3.2971 | edge 0.2188 | kl 0.2973 | beta 0.0488
Epoch 040 | loss 3.9475 | node 3.2802 | edge 0.2178 | kl 0.2794 | beta 0.0500
Epoch 041 | loss 3.9082 | node 3.2471 | edge 0.2160 | kl 0.2637 | beta 0.0500
Epoch 042 | loss 3.9602 | node 3.2861 | edge 0.2205 | kl 0.2529 | beta 0.0500
Epoch 043 | loss 3.9170 | node 3.2505 | edge 0.2182 | kl 0.2375 | beta 0.0500
Epoch 044 | loss 3.9072 | node 3.2499 | edge 0.2154 | kl 0.2238 | beta 0.0500
Epoch 045 | loss 3.8855 | node 3.2311 | edge 0.2146 | kl 0.2144 | beta 0.0500
Epoch 046 | loss 3.8542 | node 3.2030 | edge 0.2136 | kl 0.2057 | beta 0.0500
Epoch 047 | loss 3.8329 | node 3.1873 | edge 0.2119 | kl 0.1996 | beta 0.0500
Epoch 048 | loss 3.8417 | node 3.1964 | edge 0.2119 | kl 0.1900 | beta 0.0500
Epoch 049 | loss 3.7894 | node 3.1482 | edge 0.2107 | kl 0.1811 | beta 0.0500
Epoch 050 | loss 3.8216 | node 3.1770 | edge 0.2119 | kl 0.1764 | beta 0.0500
Epoch 051 | loss 3.7754 | node 3.1440 | edge 0.2077 | kl 0.1666 | beta 0.0500
Epoch 052 | loss 3.7939 | node 3.1589 | edge 0.2090 | kl 0.1631 | beta 0.0500
Epoch 053 | loss 3.7158 | node 3.0937 | edge 0.2047 | kl 0.1582 | beta 0.0500
Epoch 054 | loss 3.7469 | node 3.1096 | edge 0.2099 | kl 0.1519 | beta 0.0500
Epoch 055 | loss 3.7218 | node 3.1003 | edge 0.2047 | kl 0.1506 | beta 0.0500
Epoch 056 | loss 3.7552 | node 3.1220 | edge 0.2086 | kl 0.1492 | beta 0.0500
Epoch 057 | loss 3.7180 | node 3.0944 | edge 0.2054 | kl 0.1463 | beta 0.0500
Epoch 058 | loss 3.7011 | node 3.0836 | edge 0.2035 | kl 0.1424 | beta 0.0500
Epoch 059 | loss 3.6992 | node 3.0779 | edge 0.2048 | kl 0.1397 | beta 0.0500
Epoch 060 | loss 3.7068 | node 3.0817 | edge 0.2061 | kl 0.1383 | beta 0.0500
Epoch 061 | loss 3.6618 | node 3.0572 | edge 0.1994 | kl 0.1293 | beta 0.0500
Epoch 062 | loss 3.7005 | node 3.0873 | edge 0.2022 | kl 0.1344 | beta 0.0500
Epoch 063 | loss 3.6580 | node 3.0389 | edge 0.2042 | kl 0.1279 | beta 0.0500
Epoch 064 | loss 3.6839 | node 3.0721 | edge 0.2017 | kl 0.1307 | beta 0.0500
Epoch 065 | loss 3.6388 | node 3.0369 | edge 0.1986 | kl 0.1237 | beta 0.0500
Epoch 066 | loss 3.6189 | node 3.0170 | edge 0.1986 | kl 0.1213 | beta 0.0500
Epoch 067 | loss 3.6014 | node 3.0033 | edge 0.1974 | kl 0.1177 | beta 0.0500
Epoch 068 | loss 3.6081 | node 3.0084 | edge 0.1980 | kl 0.1147 | beta 0.0500
Epoch 069 | loss 3.6366 | node 3.0341 | edge 0.1989 | kl 0.1145 | beta 0.0500
Epoch 070 | loss 3.5866 | node 2.9914 | edge 0.1965 | kl 0.1133 | beta 0.0500
Epoch 071 | loss 3.5553 | node 2.9639 | edge 0.1953 | kl 0.1092 | beta 0.0500
Epoch 072 | loss 3.5659 | node 2.9721 | edge 0.1962 | kl 0.1076 | beta 0.0500
Epoch 073 | loss 3.5425 | node 2.9533 | edge 0.1946 | kl 0.1053 | beta 0.0500
Epoch 074 | loss 3.5354 | node 2.9497 | edge 0.1934 | kl 0.1079 | beta 0.0500
Epoch 075 | loss 3.5217 | node 2.9367 | edge 0.1933 | kl 0.1065 | beta 0.0500
Epoch 076 | loss 3.5466 | node 2.9530 | edge 0.1961 | kl 0.1054 | beta 0.0500
Epoch 077 | loss 3.5364 | node 2.9473 | edge 0.1947 | kl 0.1034 | beta 0.0500
Epoch 078 | loss 3.5214 | node 2.9339 | edge 0.1941 | kl 0.1013 | beta 0.0500
Epoch 079 | loss 3.5250 | node 2.9346 | edge 0.1951 | kl 0.1017 | beta 0.0500
Epoch 080 | loss 3.5004 | node 2.9173 | edge 0.1927 | kl 0.1015 | beta 0.0500
Epoch 081 | loss 3.5220 | node 2.9418 | edge 0.1917 | kl 0.1034 | beta 0.0500
Epoch 082 | loss 3.4738 | node 2.8973 | edge 0.1905 | kl 0.1001 | beta 0.0500
Epoch 083 | loss 3.4955 | node 2.9157 | edge 0.1916 | kl 0.0984 | beta 0.0500
Epoch 084 | loss 3.4983 | node 2.9239 | edge 0.1898 | kl 0.0986 | beta 0.0500
Epoch 085 | loss 3.4810 | node 2.8966 | edge 0.1932 | kl 0.0965 | beta 0.0500
Epoch 086 | loss 3.4769 | node 2.9037 | edge 0.1895 | kl 0.0931 | beta 0.0500
Epoch 087 | loss 3.4743 | node 2.8974 | edge 0.1908 | kl 0.0919 | beta 0.0500
Epoch 088 | loss 3.4343 | node 2.8639 | edge 0.1886 | kl 0.0895 | beta 0.0500
Epoch 089 | loss 3.4317 | node 2.8649 | edge 0.1874 | kl 0.0891 | beta 0.0500
Epoch 090 | loss 3.4437 | node 2.8718 | edge 0.1892 | kl 0.0901 | beta 0.0500
Epoch 091 | loss 3.4386 | node 2.8745 | edge 0.1865 | kl 0.0936 | beta 0.0500
Epoch 092 | loss 3.4364 | node 2.8663 | edge 0.1885 | kl 0.0942 | beta 0.0500
Epoch 093 | loss 3.3800 | node 2.8203 | edge 0.1851 | kl 0.0888 | beta 0.0500
Epoch 094 | loss 3.4254 | node 2.8598 | edge 0.1870 | kl 0.0892 | beta 0.0500
Epoch 095 | loss 3.3927 | node 2.8315 | edge 0.1855 | kl 0.0920 | beta 0.0500
Epoch 096 | loss 3.3986 | node 2.8319 | edge 0.1874 | kl 0.0912 | beta 0.0500
Epoch 097 | loss 3.4094 | node 2.8495 | edge 0.1851 | kl 0.0904 | beta 0.0500
Epoch 098 | loss 3.4029 | node 2.8380 | edge 0.1868 | kl 0.0900 | beta 0.0500
Epoch 099 | loss 3.3646 | node 2.8093 | edge 0.1836 | kl 0.0895 | beta 0.0500
Epoch 100 | loss 3.3898 | node 2.8222 | edge 0.1877 | kl 0.0898 | beta 0.0500
Epoch 101 | loss 3.4006 | node 2.8415 | edge 0.1849 | kl 0.0899 | beta 0.0500
Epoch 102 | loss 3.3942 | node 2.8349 | edge 0.1849 | kl 0.0895 | beta 0.0500
Epoch 103 | loss 3.3380 | node 2.7832 | edge 0.1835 | kl 0.0890 | beta 0.0500
Epoch 104 | loss 3.3344 | node 2.7807 | edge 0.1831 | kl 0.0867 | beta 0.0500
