run_order,system,generator,real_percent_requested,synthetic_percent_requested,real_percent_actual,synth_percent_actual,mode_version,syn_normal_path,syn_abnormal_path,real_holdout_ratio,real_val_ratio,min_nodes_filter,max_synth_per_class,train_real_total,train_synth_total,train_normal_real,train_abnormal_real,train_normal_synth,train_abnormal_synth,val_normal_synth,val_abnormal_synth,val_normal_real,val_abnormal_real,test_normal_real,test_abnormal_real,train_total_after_filter,val_total_after_filter,test_total_after_filter,test_normal_real_after_filter,test_abnormal_real_after_filter,test_loss,test_accuracy,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,abnormal_precision,abnormal_recall,abnormal_f1,resource_summary_csv,resource_timeseries_csv,resource_return_code,resource_wall_seconds,resource_process_tree_cpu_seconds,resource_process_tree_avg_cpu_pct,resource_process_tree_peak_rss_mb,resource_process_tree_peak_vms_mb,resource_gpu_peak_mem_used_total_mb,resource_process_tree_gpu_peak_mem_mb,resource_gpu_peak_util_pct,resource_samples,seed,pr_auc,false_alarm_rate,tn,fp,fn,tp
1,TT,hierarchical_vae,50.0,50.0,50.0,50.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,4675,4675,2734,1941,2734,1941,760,540,304,216,760,540,9350,1820,1300,760,540,0.657075,0.656923,0.650802,0.656923,0.648239,0.678815,0.784211,0.727717,0.611374,0.477778,0.536383,,,,,,,,,,,,,42,0.615596,0.215789,596,164,282,258
2,SN,hierarchical_vae,50.0,50.0,50.0,50.0,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,8138,8138,3063,5075,3063,5075,851,1410,,,851,1410,,,,,,0.590295,0.674923,0.662777,0.674923,0.657688,0.601399,0.40423,0.483486,0.699822,0.838298,0.762827,,,,,,,,,,,,,42,0.806531,0.59577,344,507,228,1182
3,TT,hierarchical_vae,70.0,30.0,70.006,29.994,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,4675,2003,2734,1941,1171,832,760,540,304,216,760,540,6678,1820,1300,760,540,0.641606,0.679231,0.679463,0.679231,0.66157,0.678832,0.856579,0.757417,0.680352,0.42963,0.526674,,,,,,,,,,,,,42,0.613756,0.143421,651,109,308,232
4,SN,hierarchical_vae,70.0,30.0,69.998,30.002,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,8138,3488,3063,5075,1313,2175,851,1410,,,851,1410,,,,,,0.588351,0.662096,0.6534,0.662096,0.655446,0.560501,0.473561,0.513376,0.709468,0.775887,0.741192,,,,,,,,,,,,,42,0.806063,0.526439,403,448,316,1094
5,TT,random_sampling,50.0,50.0,50.0,50.0,v5_tt_real_validation,./datasets/baselines/TT_normal_random_sampling.pt,./datasets/baselines/TT_abnormal_random_sampling.pt,0.2,0.1,3,,4675,4675,2734,1941,2761,1914,762,528,304,216,760,540,9350,1810,1300,760,540,0.649564,0.67,0.665881,0.67,0.656897,0.679696,0.823684,0.744795,0.646438,0.453704,0.533188,,,,,,,,,,,,,42,0.583282,0.176316,626,134,295,245
6,SN,random_sampling,50.0,50.0,50.0,50.0,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_random_sampling.pt,./datasets/baselines/SN_abnormal_random_sampling.pt,0.2,,,,8138,8138,3063,5075,3063,5075,851,1410,,,851,1410,,,,,,0.583906,0.689518,0.682903,0.689518,0.684405,0.601085,0.520564,0.557935,0.732283,0.791489,0.760736,,,,,,,,,,,,,42,0.819944,0.479436,443,408,294,1116
7,TT,random_sampling,70.0,30.0,70.006,29.994,v5_tt_real_validation,./datasets/baselines/TT_normal_random_sampling.pt,./datasets/baselines/TT_abnormal_random_sampling.pt,0.2,0.1,3,,4675,2003,2734,1941,1183,820,762,528,304,216,760,540,6678,1810,1300,760,540,0.627916,0.683077,0.687187,0.683077,0.662271,0.677189,0.875,0.76349,0.701258,0.412963,0.519814,,,,,,,,,,,,,42,0.600647,0.125,665,95,317,223
8,SN,random_sampling,70.0,30.0,69.998,30.002,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_random_sampling.pt,./datasets/baselines/SN_abnormal_random_sampling.pt,0.2,,,,8138,3488,3063,5075,1313,2175,851,1410,,,851,1410,,,,,,0.596444,0.654578,0.652775,0.654578,0.653609,0.542271,0.527615,0.534842,0.71947,0.731206,0.72529,,,,,,,,,,,,,42,0.807257,0.472385,449,402,379,1031
9,TT,flat_vae,50.0,50.0,50.0,50.0,v5_tt_real_validation,./datasets/baselines/TT_normal_flat_vae_synthetic.pt,./datasets/baselines/TT_abnormal_flat_vae_synthetic.pt,0.2,0.1,3,,4675,4675,2734,1941,2734,1941,760,540,304,216,760,540,9350,1820,1300,760,540,0.637734,0.677692,0.67561,0.677692,0.662913,0.681964,0.840789,0.753094,0.666667,0.448148,0.535991,,,,,,,,,,,,,42,0.607909,0.159211,639,121,298,242
10,SN,flat_vae,50.0,50.0,50.0,50.0,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_flat_vae_synthetic.pt,./datasets/baselines/SN_abnormal_flat_vae_synthetic.pt,0.2,,,,8138,8138,3063,5075,3063,5075,851,1410,,,851,1410,,,,,,0.573475,0.675807,0.664722,0.675807,0.663551,0.593354,0.440658,0.505732,0.707796,0.81773,0.758802,,,,,,,,,,,,,42,0.818319,0.559342,375,476,257,1153
11,TT,flat_vae,70.0,30.0,70.006,29.994,v5_tt_real_validation,./datasets/baselines/TT_normal_flat_vae_synthetic.pt,./datasets/baselines/TT_abnormal_flat_vae_synthetic.pt,0.2,0.1,3,,4675,2003,2734,1941,1171,832,760,540,304,216,760,540,6678,1820,1300,760,540,0.621812,0.692308,0.696291,0.692308,0.674129,0.68595,0.873684,0.768519,0.710843,0.437037,0.541284,,,,,,,,,,,,,42,0.614455,0.126316,664,96,304,236
12,SN,flat_vae,70.0,30.0,69.998,30.002,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_flat_vae_synthetic.pt,./datasets/baselines/SN_abnormal_flat_vae_synthetic.pt,0.2,,,,8138,3488,3063,5075,1313,2175,851,1410,,,851,1410,,,,,,0.574763,0.662539,0.657322,0.662539,0.659235,0.556555,0.508813,0.531614,0.718139,0.755319,0.73626,,,,,,,,,,,,,42,0.822127,0.491187,433,418,345,1065
