run_order,system,generator,real_percent_requested,synthetic_percent_requested,real_percent_actual,synth_percent_actual,mode_version,syn_normal_path,syn_abnormal_path,real_holdout_ratio,real_val_ratio,min_nodes_filter,max_synth_per_class,train_real_total,train_synth_total,train_normal_real,train_abnormal_real,train_normal_synth,train_abnormal_synth,val_normal_synth,val_abnormal_synth,val_normal_real,val_abnormal_real,test_normal_real,test_abnormal_real,train_total_after_filter,val_total_after_filter,test_total_after_filter,test_normal_real_after_filter,test_abnormal_real_after_filter,test_loss,test_accuracy,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,abnormal_precision,abnormal_recall,abnormal_f1,resource_summary_csv,resource_timeseries_csv,resource_return_code,resource_wall_seconds,resource_process_tree_cpu_seconds,resource_process_tree_avg_cpu_pct,resource_process_tree_peak_rss_mb,resource_process_tree_peak_vms_mb,resource_gpu_peak_mem_used_total_mb,resource_process_tree_gpu_peak_mem_mb,resource_gpu_peak_util_pct,resource_samples
1,TT,hierarchical_vae,0.0,100.0,0.0,100.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,0,5195,0,0,3038,2157,760,540,0,0,760,540,5195,1300,1300,760,540,1.152225,0.630769,0.630185,0.630769,0.630464,0.682768,0.688158,0.685452,0.55618,0.55,0.553073,,,,,,,,,,,,
2,SN,hierarchical_vae,0.0,100.0,0.0,100.0,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,0,9043,0,0,3404,5639,851,1410,,,851,1410,,,,,,6.082759,0.623176,0.388795,0.623176,0.478843,0.0,0.0,0.0,0.623451,0.999291,0.767847,,,,,,,,,,,,
3,TT,hierarchical_vae,10.0,90.0,9.997,90.003,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,577,5195,337,240,3038,2157,760,540,84,60,760,540,5772,1444,1300,760,540,0.746504,0.635385,0.63702,0.635385,0.636107,0.692204,0.677632,0.68484,0.559353,0.575926,0.567518,,,,,,,,,,,,
4,SN,hierarchical_vae,10.0,90.0,10.003,89.997,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,1005,9042,378,627,3404,5638,851,1410,,,851,1410,,,,,,0.608184,0.647501,0.635305,0.647501,0.637157,0.540299,0.425382,0.476003,0.692646,0.78156,0.734422,,,,,,,,,,,,
5,TT,hierarchical_vae,30.0,70.0,29.996,70.004,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,2226,5195,1302,924,3038,2157,760,540,304,216,760,540,7421,1820,1300,760,540,0.674369,0.633077,0.636857,0.633077,0.634512,0.695172,0.663158,0.678788,0.554783,0.590741,0.572197,,,,,,,,,,,,
6,SN,hierarchical_vae,30.0,70.0,29.997,70.003,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,3875,9043,1458,2417,3404,5639,851,1410,,,851,1410,,,,,,0.602893,0.665192,0.654059,0.665192,0.654796,0.570997,0.444183,0.49967,0.70419,0.798582,0.748421,,,,,,,,,,,,
7,TT,hierarchical_vae,100.0,0.0,100.0,0.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,4675,0,2734,1941,0,0,0,0,304,216,760,540,4675,520,1300,760,540,0.63689,0.685385,0.691948,0.685385,0.66302,0.676737,0.884211,0.766686,0.713355,0.405556,0.517119,,,,,,,,,,,,
8,SN,hierarchical_vae,100.0,0.0,100.0,0.0,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,8138,0,3063,5075,0,0,0,0,,,851,1410,,,,,,0.569754,0.670942,0.66549,0.670942,0.667366,0.56939,0.515864,0.541307,0.72349,0.764539,0.743448,,,,,,,,,,,,
1,TT,random_sampling,0.0,100.0,0.0,100.0,v5_tt_real_validation,./datasets/baselines/TT_normal_random_sampling.pt,./datasets/baselines/TT_abnormal_random_sampling.pt,0.2,0.1,3,,0,5158,0,0,3046,2112,762,528,0,0,760,540,5158,1290,1300,760,540,1.051299,0.621538,0.645849,0.621538,0.544416,0.61414,0.948684,0.745605,0.690476,0.161111,0.261261,,,,,,,,,,,,
2,SN,random_sampling,0.0,100.0,0.0,100.0,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_random_sampling.pt,./datasets/baselines/SN_abnormal_random_sampling.pt,0.2,,,,0,9043,0,0,3404,5639,851,1410,,,851,1410,,,,,,0.657764,0.623618,0.388899,0.623618,0.479053,0.0,0.0,0.0,0.623618,1.0,0.768183,,,,,,,,,,,,
