run_order,system,generator,real_percent_requested,synthetic_percent_requested,real_percent_actual,synth_percent_actual,mode_version,syn_normal_path,syn_abnormal_path,real_holdout_ratio,real_val_ratio,min_nodes_filter,max_synth_per_class,train_real_total,train_synth_total,train_normal_real,train_abnormal_real,train_normal_synth,train_abnormal_synth,val_normal_synth,val_abnormal_synth,val_normal_real,val_abnormal_real,test_normal_real,test_abnormal_real,train_total_after_filter,val_total_after_filter,test_total_after_filter,test_normal_real_after_filter,test_abnormal_real_after_filter,test_loss,test_accuracy,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,abnormal_precision,abnormal_recall,abnormal_f1,resource_summary_csv,resource_timeseries_csv,resource_return_code,resource_wall_seconds,resource_process_tree_cpu_seconds,resource_process_tree_avg_cpu_pct,resource_process_tree_peak_rss_mb,resource_process_tree_peak_vms_mb,resource_gpu_peak_mem_used_total_mb,resource_process_tree_gpu_peak_mem_mb,resource_gpu_peak_util_pct,resource_samples,seed,pr_auc,false_alarm_rate,tn,fp,fn,tp
1,TT,hierarchical_vae,0.0,100.0,0.0,100.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,0,5195,0,0,3038,2157,760,540,0,0,760,540,5195,1300,1300,760,540,1.270414,0.623846,0.626074,0.623846,0.624799,0.683356,0.664474,0.673783,0.545455,0.566667,0.555858,,,,,,,,,,,,,42,0.568876,0.335526,505,255,234,306
2,SN,hierarchical_vae,0.0,100.0,0.0,100.0,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,0,9043,0,0,3404,5639,851,1410,,,851,1410,,,,,,6.517895,0.623176,0.388795,0.623176,0.478843,0.0,0.0,0.0,0.623451,0.999291,0.767847,,,,,,,,,,,,,42,0.631765,1.0,0,851,1,1409
3,TT,hierarchical_vae,10.0,90.0,9.997,90.003,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,577,5195,337,240,3038,2157,760,540,84,60,760,540,5772,1444,1300,760,540,0.764533,0.634615,0.638151,0.634615,0.635978,0.696011,0.665789,0.680565,0.556719,0.590741,0.573226,,,,,,,,,,,,,42,0.595598,0.334211,506,254,221,319
4,SN,hierarchical_vae,10.0,90.0,10.003,89.997,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,1005,9042,378,627,3404,5638,851,1410,,,851,1410,,,,,,0.621104,0.644405,0.638855,0.644405,0.640978,0.530167,0.485311,0.506748,0.704453,0.740426,0.721992,,,,,,,,,,,,,42,0.79154,0.514689,413,438,366,1044
5,TT,hierarchical_vae,30.0,70.0,29.996,70.004,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,2226,5195,1302,924,3038,2157,760,540,304,216,760,540,7421,1820,1300,760,540,0.681491,0.636923,0.641034,0.636923,0.638439,0.699446,0.664474,0.681511,0.558824,0.598148,0.577818,,,,,,,,,,,,,42,0.598754,0.335526,505,255,217,323
6,SN,hierarchical_vae,30.0,70.0,29.997,70.003,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,3875,9043,1458,2417,3404,5639,851,1410,,,851,1410,,,,,,0.601631,0.665635,0.65405,0.665635,0.654296,0.57319,0.437133,0.496,0.702854,0.803546,0.749835,,,,,,,,,,,,,42,0.799903,0.562867,372,479,277,1133
7,TT,hierarchical_vae,100.0,0.0,100.0,0.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,4675,0,2734,1941,0,0,0,0,304,216,760,540,4675,520,1300,760,540,0.637209,0.682308,0.688789,0.682308,0.659076,0.674022,0.884211,0.76494,0.709571,0.398148,0.510083,,,,,,,,,,,,,42,0.596712,0.115789,672,88,325,215
8,SN,hierarchical_vae,100.0,0.0,100.0,0.0,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,8138,0,3063,5075,0,0,0,0,,,851,1410,,,,,,0.57502,0.675807,0.66482,0.675807,0.663853,0.592767,0.443008,0.507061,0.708308,0.816312,0.758484,,,,,,,,,,,,,42,0.820341,0.556992,377,474,259,1151
1,TT,hierarchical_vae,0.0,100.0,0.0,100.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,0,5195,0,0,3038,2157,760,540,0,0,760,540,5195,1300,1300,760,540,0.984323,0.635385,0.635385,0.635385,0.635385,0.688158,0.688158,0.688158,0.561111,0.561111,0.561111,,,,,,,,,,,,,43,0.580114,0.311842,523,237,237,303
2,SN,hierarchical_vae,0.0,100.0,0.0,100.0,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,0,9043,0,0,3404,5639,851,1410,,,851,1410,,,,,,8.312888,0.623618,0.388899,0.623618,0.479053,0.0,0.0,0.0,0.623618,1.0,0.768183,,,,,,,,,,,,,43,0.632425,1.0,0,851,0,1410
