system,generator,trace_class,real_graphs,synthetic_graphs,node_count_ks_similarity,node_count_ks_stat,edge_count_ks_similarity,edge_count_ks_stat,density_ks_similarity,density_ks_stat,avg_degree_ks_similarity,avg_degree_ks_stat,max_degree_ks_similarity,max_degree_ks_stat,roots_ratio_ks_similarity,roots_ratio_ks_stat,leaves_ratio_ks_similarity,leaves_ratio_ks_stat,duration_mean_ks_similarity,duration_mean_ks_stat,duration_std_ks_similarity,duration_std_ks_stat,unique_services_ks_similarity,unique_services_ks_stat,unique_ops_ks_similarity,unique_ops_ks_stat,all_degrees_ks_similarity,all_degrees_ks_stat,all_durations_ks_similarity,all_durations_ks_stat,node_count_wasserstein_similarity,node_count_wasserstein_distance,edge_count_wasserstein_similarity,edge_count_wasserstein_distance,density_wasserstein_similarity,density_wasserstein_distance,avg_degree_wasserstein_similarity,avg_degree_wasserstein_distance,service_js_similarity,operation_js_similarity,service_operation_js_similarity,service_operation_valid_mass,graph_feature_mmd_similarity,graph_feature_mmd,structure_mean,timing_mean,semantic_mean,overall_fidelity
TT,random_sampling,normal,1000,1000,0.991,0.009,0.5800000000000001,0.42,0.4,0.6,0.4,0.6,0.479,0.521,0.32699999999999996,0.673,0.33599999999999997,0.664,0.656,0.344,0.6599999999999999,0.34,0.489,0.511,0.469,0.531,0.3370966033684565,0.6629033966315435,0.9769843108372995,0.023015689162700508,0.9842716890402725,0.15700000000000008,0.4460287401136236,4.973000000000001,0.3007183438944575,0.18694247757073845,0.18693557605944333,1.3056894409937885,0.6737234861611576,0.4334523155828147,0.114544449282453,0.09383513268085965,0.7820332076382404,0.24585807432790152,0.5670185444295281,0.8164921554186497,0.32888884592682127,0.5707998485916664
TT,random_sampling,abnormal,1000,1000,0.965,0.035,0.5860000000000001,0.414,0.394,0.606,0.397,0.603,0.488,0.512,0.31299999999999994,0.687,0.33499999999999996,0.665,0.7070000000000001,0.293,0.781,0.219,0.5409999999999999,0.459,0.515,0.485,0.35255047747353774,0.6474495225264623,0.9708917406663817,0.02910825933361831,0.9431183341797866,0.5600000000000005,0.40122268764859037,5.2890000000000015,0.31014429275803457,0.17305691790411468,0.24280036813410089,1.2088015823484932,0.6692567396420689,0.4466444685678953,0.11202333824552524,0.09057619816908993,0.7895493260966823,0.23629296959821056,0.56744282908146,0.8389458703331909,0.3296251861561449,0.5786712951902652
TT,random_sampling,combined,2000,2000,0.978,0.022,0.583,0.417,0.397,0.603,0.39849999999999997,0.6015,0.48350000000000004,0.5165,0.31999999999999995,0.68,0.3355,0.6645,0.6825,0.3175,0.748,0.252,0.515,0.485,0.492,0.508,0.3445781736126685,0.6554218263873315,0.9747134262737547,0.025286573726245265,0.9681747112523327,0.3155000000000001,0.42380685008422225,5.131,0.3056967009158189,0.17999969773742652,0.21478531546130952,1.257245511671141,0.671984526098431,0.44040788137132014,0.11347618015957173,0.09225880391748281,0.7935645716011224,0.23122036664770107,0.568306106459113,0.8286067131368773,0.32953184788670137,0.5754815558275638
TT,flat_vae,normal,1000,1000,0.988,0.012,0.531,0.469,0.26,0.74,0.22999999999999998,0.77,0.489,0.511,0.04700000000000004,0.953,0.041000000000000036,0.959,0.127,0.873,0.049000000000000044,0.951,0.634,0.366,0.6,0.4,0.6294012348552751,0.3705987651447249,0.6823049134610126,0.31769508653898737,0.9920857543578442,0.07899999999999979,0.6019828450484572,3.573,0.24454076110820133,0.148206295878035,0.42377220200006027,0.925356625258799,0.5581013634116296,0.5515378109001405,0.5043152823651772,0.7598707462385136,0.6347994149616917,0.4544462119407493,0.5374572356881382,0.4046524567305063,0.5934563007288652,0.5118553310491699
TT,flat_vae,abnormal,1000,1000,0.972,0.028,0.599,0.401,0.5529999999999999,0.447,0.41900000000000004,0.581,0.577,0.423,0.15400000000000003,0.846,0.18899999999999995,0.811,0.137,0.863,0.026000000000000023,0.974,0.589,0.411,0.651,0.349,0.7442761982885004,0.2557238017114996,0.6427087592776122,0.3572912407223878,0.9570340274250888,0.4230000000000004,0.6741003668402539,2.9780000000000006,0.42544897720175257,0.11529974512931168,0.556440978707323,0.7081023606446948,0.6405068164817058,0.6291890005570703,0.5807736165074828,0.8179791976225854,0.7192478222193125,0.32954930440447283,0.6547891457868305,0.3898543796388061,0.6671121577922111,0.5705852277392826
TT,flat_vae,combined,2000,2000,0.9855,0.0145,0.565,0.435,0.4255,0.5745,0.3245,0.6755,0.5329999999999999,0.467,0.10050000000000003,0.8995,0.11499999999999999,0.885,0.13249999999999995,0.8675,0.04849999999999999,0.9515,0.6114999999999999,0.3885,0.6255,0.3745,0.6854137239254089,0.3145862760745911,0.6681399461095267,0.33186005389047335,0.9746809905684168,0.2510000000000002,0.6325098259404829,3.2725,0.33601998438283476,0.13175302050367335,0.4899102957948772,0.8167294929517469,0.6013222922736914,0.592774820031448,0.546044930594521,0.7882018111254852,0.6892267754183939,0.3721849250853344,0.6011629284776862,0.4003199730547633,0.6320859635062863,0.5445229550129119
TT,hierarchical_vae,normal,1000,1000,0.988,0.012,0.988,0.012,0.988,0.012,0.99,0.01,0.991,0.009,0.99,0.01,0.755,0.245,0.907,0.093,0.901,0.099,0.988,0.012,0.988,0.012,0.9561117008494721,0.0438882991505279,0.9786410449442138,0.021358955055786267,0.9920857543578442,0.07899999999999979,0.9917567115963016,0.07399999999999979,0.9861693127153877,0.002751363008971707,0.9970122650874758,0.004797964113181485,0.986172108334195,0.9816628320280616,0.9808242857932453,1.0,0.9868039635559086,0.013283877760307261,0.9839879520579115,0.9428205224721069,0.9871648065388755,0.9713244270229646
TT,hierarchical_vae,abnormal,1000,1000,0.972,0.028,0.972,0.028,0.972,0.028,0.972,0.028,0.977,0.023,0.972,0.028,0.782,0.218,0.911,0.089,0.883,0.117,0.981,0.019,0.984,0.016,0.9616922843233783,0.03830771567662168,0.9730962911759312,0.026903708824068756,0.9570340274250888,0.4230000000000004,0.951771764972263,0.4260000000000004,0.977118777055279,0.004699283204717991,0.9931283377831593,0.01096999498086456,0.97345193392991,0.9739845597601181,0.9703075820599236,1.0,0.9896648547950881,0.010388923677902007,0.9737653055883524,0.9420481455879657,0.979436018937488,0.9650831567046021
TT,hierarchical_vae,combined,2000,2000,0.9855,0.0145,0.9855,0.0145,0.9855,0.0145,0.9855,0.0145,0.987,0.013,0.9855,0.0145,0.7685,0.2315,0.9275,0.0725,0.91,0.09,0.985,0.015,0.986,0.014,0.9588678289715744,0.041132171028425646,0.9770458215178369,0.02295417848216308,0.9746809905684168,0.2510000000000002,0.9719258843346434,0.2500000000000001,0.9815719028809525,0.0037253231068448507,0.995284231894481,0.007550646213689699,0.9843379266164013,0.9806364498650637,0.9799393618145089,1.0,0.9862443028892338,0.013851183376903276,0.9820160188372584,0.9522729107589185,0.9862284345739935,0.9735057880567234
SN,random_sampling,normal,1000,1000,0.975,0.025,0.973,0.027,0.683,0.317,0.612,0.388,0.836,0.164,0.405,0.595,0.609,0.391,0.688,0.312,0.6859999999999999,0.314,0.236,0.764,0.775,0.225,0.656518524611873,0.34348147538812707,0.9749649234329584,0.02503507656704162,0.9504790816810549,0.5220000000000005,0.9631341476835039,0.3350000000000003,0.4347208480203606,0.14685792802344524,0.43551985633215184,1.3716755336617406,0.563077967656253,0.8173640256065121,0.10254412282424596,0.07760174556493692,0.8517736456160667,0.16043446160999886,0.7981845957468486,0.8314824617164791,0.390146965412987,0.6732713409587716
